PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,team_poss,sp_work_DEF_RATING_RANK,AST_TO_RANK,EFG_PCT_RANK,POSS,EFG_PCT,PACE_PER40,DREB_PCT,TS_PCT_RANK,OFF_RATING_RANK,E_TOV_PCT_RANK,sp_work_NET_RATING_RANK,FGA_PG_RANK,TM_TOV_PCT,E_DEF_RATING_RANK,AST_PCT_RANK,E_USG_PCT,OFF_RATING,OREB_PCT,sp_work_OFF_RATING,FGM_PG_RANK,PIE_RANK,PACE,AST_RATIO,E_PACE,E_NET_RATING,NET_RATING_RANK,AST_RATIO_RANK,DREB_PCT_RANK,FGM_PG,sp_work_OFF_RATING_RANK,sp_work_PACE_RANK,TM_TOV_PCT_RANK,DEF_RATING_RANK,DEF_RATING,REB_PCT,E_PACE_RANK,AST_PCT,FGA_PG,USG_PCT,PACE_RANK,E_OFF_RATING,AST_TO,USG_PCT_RANK,E_USG_PCT_RANK,E_NET_RATING_RANK,E_OFF_RATING_RANK,sp_work_NET_RATING,E_TOV_PCT,TS_PCT,PIE,E_DEF_RATING,sp_work_DEF_RATING,OREB_PCT_RANK,sp_work_PACE,REB_PCT_RANK,NET_RATING,AST_ADJ,POTENTIAL_AST,AST_PTS_CREATED,PASSES_MADE,SECONDARY_AST,FT_AST,AST_TO_PASS_PCT_ADJ,AST_TO_PASS_PCT,PASSES_RECEIVED,DRIVE_FGM,DRIVE_PTS,DRIVE_AST_PCT,DRIVE_FGA,DRIVES,DRIVE_PASSES,DRIVE_FTA,DRIVE_PF_PCT,DRIVE_AST,DRIVE_FTM,DRIVE_PTS_PCT,DRIVE_FT_PCT,DRIVE_PASSES_PCT,DRIVE_PF,DRIVE_TOV,DRIVE_FG_PCT,DRIVE_TOV_PCT,AVG_SEC_PER_TOUCH,PTS_PER_ELBOW_TOUCH,PAINT_TOUCHES,PTS_PER_PAINT_TOUCH,TOUCHES,ELBOW_TOUCHES,AVG_DRIB_PER_TOUCH,FRONT_CT_TOUCHES,PTS_PER_POST_TOUCH,POINTS,POST_TOUCHES,PTS_PER_TOUCH,TIME_OF_POSS,DREB_CONTEST_PCT,AVG_DREB_DIST,OREB_CHANCE_PCT,DREB_CONTEST,OREB_CONTEST,DREB_CHANCES,REB_CONTEST,OREB_CHANCES,DREB_CHANCE_PCT,REB_CHANCE_PCT,OREB_UNCONTEST,OREB_CHANCE_PCT_ADJ,REB_CHANCES,OREB_CONTEST_PCT,DREB_UNCONTEST,REB_CONTEST_PCT,AVG_OREB_DIST,REB_CHANCE_DEFER,AVG_REB_DIST,OREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,REB_CHANCE_PCT_ADJ,REB_UNCONTEST,DREB_CHANCE_DEFER,PLAYER_LAST_TEAM_ID,very_tight_FG2M,very_tight_EFG_PCT,very_tight_FGA_FREQUENCY,very_tight_FG3A,very_tight_FG3M,very_tight_FG3A_FREQUENCY,PLAYER_LAST_TEAM_ABBREVIATION,very_tight_FG2A,very_tight_FGM,G,very_tight_FGA,very_tight_FG_PCT,very_tight_FG2A_FREQUENCY,very_tight_FG3_PCT,very_tight_FG2_PCT,tight_FGA_FREQUENCY,tight_EFG_PCT,tight_FG_PCT,tight_FG2M,tight_FG3A,tight_FG2A_FREQUENCY,tight_FG3_PCT,tight_FGM,tight_FGA,tight_FG3M,tight_FG2A,tight_FG3A_FREQUENCY,tight_FG2_PCT,open_FG3A,open_EFG_PCT,open_FGM,open_FG_PCT,open_FG3_PCT,open_FG2M,open_FG2_PCT,open_FGA_FREQUENCY,open_FG2A,open_FG3A_FREQUENCY,open_FG2A_FREQUENCY,open_FG3M,open_FGA,wide_open_FG2A,wide_open_EFG_PCT,wide_open_FGA_FREQUENCY,wide_open_FG3M,wide_open_FG_PCT,wide_open_FGA,wide_open_FG3A,wide_open_FG2M,wide_open_FG3A_FREQUENCY,wide_open_FGM,wide_open_FG2A_FREQUENCY,wide_open_FG3_PCT,wide_open_FG2_PCT,PULL_UP_FG3M,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3_PCT,PULL_UP_FGM,PULL_UP_EFG_PCT,PULL_UP_FGA,PULL_UP_FG3A,EFF_FG_PCT,CATCH_SHOOT_PTS,PAINT_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,POST_TOUCH_FG_PCT,POST_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,CATCH_SHOOT_FG_PCT,PAINT_TOUCH_PTS,LEFT_CORNER_3_FG_PCT,RIGHT_CORNER_3_FG_PCT,RA_FG_PCT,MID_FGA,BACKCOURT_FG_PCT,CORNER_3_FGA,LEFT_CORNER_3_FGM,ABOVE_BREAK_3_FGA,ITP_FGM,RIGHT_CORNER_3_FGA,MID_FGM,LEFT_CORNER_3_FGA,BACKCOURT_FGM,CORNER_3_FG_PCT,MID_FG_PCT,ABOVE_BREAK_3_FGM,ABOVE_BREAK_3_FG_PCT,BACKCOURT_FGA,ITP_FGA,ITP_FG_PCT,RIGHT_CORNER_3_FGM,RA_FGA,CORNER_3_FGM,RA_FGM,PLAYER_POSITION,FGM_LT_06,FGA_LT_06,FREQ,LT_06_PCT,PLUSMINUS,NS_LT_06_PCT,TEAM_ABBR,FGA_35_39,FGA_5_9,FGA_10_14,FGM_LT_5,FGA_20_24,FGP_25_29,FGA_15_19,FGM_15_19,FGM_25_29,FGP_5_9,FGP_10_14,FGP_LT_5,FGM_10_14,FGM_5_9,FGM_35_39,FGA_30_34,FGA_25_29,FGP_30_34,FGA_40_PLUS,FGA_LT_5,FGM_30_34,FGP_15_19,FGM_20_24,FGP_40_PLUS,FGM_40_PLUS,FGP_35_39,FGP_20_24,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_FGA,CATCH_SHOOT_FGM,CATCH_SHOOT_FG3A,CATCH_SHOOT_EFG_PCT,CATCH_SHOOT_FG3M,year,date,playoffs,GAME_ID
2365,Chris Andersen,Chris,1610612763,MEM,37.0,1,1,0,1.0,26.555,2,2,1.0,0,0,0.0,2,2,1.0,2,8,10,0,0,1,1,0,2,3,6,-4,24.0,0,0,20.0,1,1,1,1,91,120,178,1,92,144,92,45,62,1,28,10,13,141,139,38,21,1,90,39,122,133,68,17,1,79,,131,106,3,52,1.0,77.57,0.32,4,122,1,137,178,0.0,122,141,0.052,101.9,0.074,101.9,120,48,93.09,0.0,94.07,-6.4,137,141,17,2.0,122,154,1,131,111.8,0.192,144,0.0,2.0,0.052,154,102.5,0.0,202,202,123,114,-9.8,0.0,1.042,0.169,108.9,111.8,54,93.09,25,-9.8,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.571,2.0,1.0,42.0,7.0,0.24,13.0,0.0,6.0,0.0,0.143,1.0,0.375,3.2,0.4,3.0,1.0,8.0,4.0,5.0,1.0,0.769,1.0,0.4,13.0,0.5,5.0,0.4,10.4,1.0,4.7,0.0,1.143,0.833,6.0,1.0,1610612763.0,1.0,1.0,0.5,0.0,0.0,0.0,MEM,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,0.5,1.0,1.0,1.0,0.0,0.5,,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,F-C,18.0,35.0,0.486,0.514,-0.066,0.58,MEM,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,,0.0,,0,0,,,,2016,20160304,False,21500918
203187,Chris Johnson,Chris,1610612762,UTA,26.0,1,0,1,0.0,9.133333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,0,0,-6,2.4,0,0,2.0,1,104,104,104,185,181,190,181,92,144,92,122,130,122,111,104,133,141,139,92,67,139,1,155,188,146,198,17,1,197,,62,106,181,19,0.0,81.02,0.333,188,205,1,190,190,0.0,62,141,0.05,57.9,0.0,57.9,181,141,97.23,0.0,93.97,-33.6,190,141,13,0.0,205,102,1,62,94.4,0.125,146,0.0,1.0,0.048,102,61.5,0.0,203,203,181,202,-36.5,0.0,0.0,0.049,95.1,94.4,111,97.23,57,-36.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,9.0,1.0,0.11,6.0,0.0,0.0,0.0,0.0,0.2,0.0,4.9,0.0,0.0,0.0,3.0,0.0,1.0,0.667,0.5,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,4.9,0.0,0.667,0.5,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,F,37.0,66.0,0.286,0.561,-0.037,0.597,UTA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,,0,0,,,,2016,20160304,False,21500918
202324,Derrick Favors,Derrick,1610612762,UTA,24.0,1,0,1,0.0,28.52,7,17,0.412,0,0,0.0,0,0,0.0,2,1,3,0,2,0,0,0,0,0,14,-12,15.6,0,0,17.0,1,104,104,104,72,27,16,116,92,144,92,122,130,122,28,154,106,141,33,92,67,1,1,155,47,186,117,17,1,105,,138,106,130,52,0.412,75.04,0.036,147,137,125,151,16,10.5,139,141,0.311,96.2,0.069,96.2,27,142,90.04,0.0,89.84,-17.2,151,141,178,7.0,137,183,125,138,112.7,0.053,178,0.0,17.0,0.311,183,96.1,0.0,18,21,157,139,-16.6,10.5,0.412,0.046,113.3,112.7,58,90.04,143,-16.6,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.4,10.0,0.8,59.0,5.0,0.22,42.0,1.2,14.0,5.0,0.237,1.5,0.0,5.0,0.667,0.0,2.0,7.0,2.0,3.0,0.143,0.3,0.0,0.667,10.0,1.0,1.0,0.667,2.8,1.0,3.5,0.0,0.167,0.333,1.0,1.0,1610612762.0,3.0,0.5,0.353,0.0,0.0,0.0,UTA,6.0,3.0,1.0,6.0,0.5,0.353,,0.5,0.118,0.5,0.5,1.0,0.0,0.118,,1.0,2.0,0.0,2.0,0.0,0.5,0.0,0.5,3.0,0.5,,3.0,0.5,0.353,6.0,0.0,0.353,0.0,6.0,3.0,0.0,0.176,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.176,,0.0,,0.0,0,,0,0.0,2,,0.412,2.0,0.444,2.0,0.6,6.0,0.5,0.2,8.0,0.0,0.0,0.571,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,3.0,0.667,0.0,7.0,0.0,4.0,F-C,136.0,266.0,0.423,0.511,-0.088,0.599,UTA,,4.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.5,0.333,0.571,1.0,2.0,,,0.0,,0.0,7.0,,0.0,0.0,0.0,0.0,,0.0,,5,1,,0.2,,2016,20160304,False,21500918
202330,Gordon Hayward,Gordon,1610612762,UTA,26.0,1,0,1,0.0,37.91666666666666,7,12,0.583,1,2,0.5,3,3,1.0,1,5,6,2,4,2,0,1,1,2,18,6,30.2,0,0,31.0,1,104,104,104,16,27,45,49,40,71,26,33,56,1,63,28,44,64,6,13,67,139,39,63,29,52,49,17,1,38,,75,92,56,73,0.625,78.07,0.132,50,99,189,61,45,22.2,82,109,0.206,108.2,0.027,108.2,27,66,93.68,11.1,94.26,6.9,61,109,96,7.0,99,144,190,75,97.3,0.08,137,0.091,12.0,0.195,144,105.5,0.5,97,88,67,107,10.9,20.7,0.676,0.142,98.6,97.3,105,93.68,102,10.9,2.0,8.0,5.0,43.0,0.0,0.0,0.047,0.047,48.0,1.0,2.0,0.0,4.0,11.0,5.0,0.0,0.0,0.0,0.0,0.182,0.0,0.455,0.0,2.0,0.25,0.182,3.51,0.0,0.0,0.0,61.0,3.0,2.72,48.0,3.0,18.0,1.0,0.295,3.6,0.2,12.0,0.5,1.0,0.0,10.0,1.0,2.0,0.5,0.5,1.0,0.5,12.0,0.0,4.0,0.167,18.6,0.0,13.1,0.0,0.5,0.5,5.0,0.0,1610612762.0,0.0,0.0,0.091,0.0,0.0,0.0,UTA,1.0,0.0,1.0,1.0,0.0,0.091,,0.0,0.636,0.571,0.571,4.0,1.0,0.545,0.0,4.0,7.0,0.0,6.0,0.091,0.667,,,,,,,,,,,,,,2.0,1.167,0.273,1.0,1.0,3.0,1.0,2.0,0.091,3.0,0.182,1.0,1.0,0.0,0.0,0,,0,0.0,2,0.0,0.625,5.0,0.0,0.0,1.0,3.0,0.0,0.667,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,5.0,0.4,1.0,2.0,1.0,2.0,F,70.0,114.0,0.251,0.614,0.018,0.597,UTA,0.0,2.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.25,0.667,1.0,2.0,0.0,,1.0,,0.0,3.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.5,2,1,2.0,0.75,1.0,2016,20160304,False,21500918
203210,JaMychal Green,JaMychal,1610612763,MEM,26.0,1,1,0,1.0,19.745,3,5,0.6,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,0,0,0,6,7,11.1,0,0,10.0,1,1,1,1,132,95,129,38,92,71,92,122,130,122,111,84,106,100,139,92,67,1,1,155,122,46,150,17,1,150,,11,106,60,38,0.6,76.98,0.136,75,146,1,47,129,0.0,19,122,0.135,94.7,0.0,94.7,95,67,92.38,16.7,88.0,20.3,47,75,93,3.0,146,167,1,11,76.3,0.083,187,0.071,5.0,0.128,167,100.0,0.0,153,150,45,122,18.4,0.0,0.6,0.142,79.7,76.3,111,92.38,97,18.4,1.0,1.0,2.0,25.0,0.0,0.0,0.04,0.04,17.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.54,0.0,1.0,0.0,30.0,1.0,0.73,15.0,2.0,6.0,1.0,0.2,0.8,0.333,5.3,0.0,1.0,0.0,4.0,1.0,0.0,0.75,0.75,0.0,0.0,4.0,0.0,2.0,0.333,0.0,0.0,5.3,0.0,0.75,0.75,2.0,0.0,1610612763.0,2.0,1.0,0.4,0.0,0.0,0.0,MEM,2.0,2.0,1.0,2.0,1.0,0.4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.333,0.6,0.0,0.333,3.0,2.0,1.0,0.4,1.0,0.2,0.0,1.0,0.0,,0,,0,,0,0.0,0.6,2.0,0.0,0.0,1.0,2.0,0.0,0.333,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,F,60.0,113.0,0.396,0.531,-0.065,0.596,MEM,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.333,0.0,3,1,2.0,0.333,0.0,2016,20160304,False,21500918
1626185,Jarell Martin,Jarell,1610612763,MEM,22.0,1,1,0,1.0,3.183333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0.0,1,1,1,1,203,181,205,181,92,144,92,122,130,122,111,186,196,141,139,92,67,1,1,155,188,71,207,17,1,207,,2,106,181,6,0.0,75.39,0.0,188,174,1,8,205,0.0,2,141,0.0,83.3,0.0,83.3,181,171,90.47,0.0,92.88,45.8,8,141,186,0.0,174,181,1,2,33.3,0.0,155,0.0,0.0,0.0,181,79.1,0.0,206,206,12,187,50.0,0.0,0.0,0.0,33.3,33.3,111,90.47,196,50.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,F,1.0,4.0,0.267,0.25,-0.315,0.565,MEM,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,,,0.0,,0,0,,,,2016,20160304,False,21500918
204060,Joe Ingles,Joe,1610612762,UTA,28.0,1,0,1,0.0,6.38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-9,0.0,0,0,0.0,1,104,104,104,192,181,205,181,92,144,92,122,130,122,111,186,196,141,139,92,67,1,1,155,188,173,207,17,1,207,,114,106,181,11,0.0,72.1,0.0,188,208,1,207,205,0.0,150,141,0.0,36.4,0.0,36.4,181,171,86.52,0.0,83.96,-78.5,207,141,186,0.0,208,198,1,114,108.3,0.0,202,0.0,0.0,0.0,198,36.4,0.0,206,206,207,208,-72.0,0.0,0.0,0.0,114.8,108.3,111,86.52,196,-72.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,6.0,0.0,0.83,5.0,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,F,38.0,51.0,0.244,0.745,0.14,0.605,UTA,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,,,0.0,,0,0,,,,2016,20160304,False,21500918
202362,Lance Stephenson,Lance,1610612763,MEM,25.0,1,1,0,1.0,24.595,8,11,0.727,0,0,0.0,0,0,0.0,0,5,5,1,2,0,0,0,5,1,16,15,21.5,0,0,22.0,1,1,1,1,104,17,49,26,92,144,92,122,130,122,111,28,57,100,33,92,67,1,197,107,36,21,77,17,1,69,,14,92,40,45,0.727,74.0,0.185,42,72,150,19,49,14.3,13,131,0.275,113.3,0.0,113.3,17,45,88.8,7.1,88.6,38.1,19,135,60,8.0,72,187,149,14,78.3,0.114,183,0.067,11.0,0.265,187,115.4,0.5,40,39,17,56,35.1,14.3,0.727,0.171,77.3,78.3,111,88.8,66,35.1,3.0,3.0,4.0,19.0,1.0,1.0,0.158,0.053,28.0,4.0,8.0,0.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.889,0.0,0.333,0.0,0.0,0.667,0.0,4.57,0.0,3.0,1.333,35.0,2.0,4.31,22.0,0.0,16.0,1.0,0.457,2.7,0.0,5.9,0.0,0.0,0.0,6.0,0.0,2.0,0.833,0.625,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,5.9,0.0,0.833,0.625,5.0,0.0,1610612763.0,2.0,0.5,0.364,0.0,0.0,0.0,MEM,4.0,2.0,1.0,4.0,0.5,0.364,,0.5,0.455,0.8,0.8,4.0,0.0,0.455,,4.0,5.0,0.0,5.0,0.0,0.8,0.0,1.0,1.0,1.0,,1.0,1.0,0.091,1.0,0.0,0.091,0.0,1.0,1.0,1.0,0.091,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.091,,1.0,,1.0,2,,1,1.0,1,,0.727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,7.0,F-G,26.0,36.0,0.164,0.722,0.142,0.58,MEM,0.0,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.778,0.0,0.0,0.0,,0.0,,0.0,9.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,2016,20160304,False,21500918
2440,Matt Barnes,Matt,1610612763,MEM,36.0,1,1,0,1.0,23.821666666666665,2,8,0.25,1,4,0.25,0,0,0.0,0,0,0,0,1,0,1,0,3,0,5,-19,7.0,0,0,8.0,1,1,1,1,108,120,85,162,40,36,75,122,130,122,111,186,196,141,73,92,21,1,136,155,136,202,176,17,1,162,,192,106,160,48,0.313,79.76,0.0,164,165,127,199,85,11.1,185,141,0.166,87.5,0.0,87.5,120,194,95.71,0.0,97.36,-38.6,199,141,186,2.0,165,117,127,192,129.8,0.0,98,0.0,8.0,0.164,117,87.2,0.0,129,129,188,161,-42.3,11.1,0.313,-0.053,125.8,129.8,111,95.71,196,-42.3,1.0,3.0,0.0,24.0,1.0,0.0,0.042,0.0,25.0,1.0,2.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.333,0.0,1.98,0.0,1.0,0.0,33.0,0.0,0.82,28.0,0.0,5.0,0.0,0.152,1.1,,,,,,,,,,,,,,,,,,,,,,,,,1610612763.0,0.0,0.0,0.125,0.0,0.0,0.0,MEM,1.0,0.0,1.0,1.0,0.0,0.125,,0.0,0.375,0.333,0.333,1.0,0.0,0.375,,1.0,3.0,0.0,3.0,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,,0.125,0.0,0.125,0.0,0.0,1.0,0.0,0.5,0.375,1.0,0.333,3.0,3.0,0.0,0.375,1.0,0.0,0.333,,0.0,0.0,0,0.0,0,0.0,2,1.0,0.313,3.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,2.0,1.0,0.0,F,91.0,132.0,0.252,0.689,0.099,0.59,MEM,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,,3.0,,0.0,2.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.333,3,1,3.0,0.5,1.0,2016,20160304,False,21500918
201144,Mike Conley,Mike,1610612763,MEM,28.0,1,1,0,1.0,28.28333333333333,4,13,0.308,0,2,0.0,4,6,0.667,0,2,2,4,1,0,0,0,3,5,12,-7,19.4,0,0,18.0,1,1,1,1,74,65,43,155,92,71,92,21,18,80,111,104,133,28,73,92,67,1,136,16,62,157,96,17,1,97,,157,11,161,57,0.308,78.49,0.071,151,131,84,158,43,5.0,142,33,0.273,98.2,0.0,98.2,65,159,94.19,20.0,93.68,-12.1,158,54,151,4.0,131,140,83,157,116.7,0.034,152,0.25,13.0,0.246,140,101.7,4.0,53,40,143,117,-18.4,4.8,0.384,0.031,113.8,116.7,111,94.19,173,-18.4,4.0,8.0,9.0,45.0,0.0,0.0,0.089,0.089,59.0,3.0,7.0,0.0,6.0,10.0,2.0,2.0,0.1,0.0,0.0,0.7,0.0,0.2,1.0,0.0,0.5,0.0,5.4,0.0,0.0,0.0,65.0,0.0,4.98,26.0,0.0,12.0,0.0,0.185,5.9,0.0,11.0,0.0,0.0,0.0,4.0,0.0,3.0,0.5,0.286,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.5,0.286,2.0,0.0,1610612763.0,1.0,0.333,0.231,0.0,0.0,0.0,MEM,3.0,1.0,1.0,3.0,0.333,0.231,,0.333,0.385,0.4,0.4,2.0,0.0,0.385,,2.0,5.0,0.0,5.0,0.0,0.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.077,1.0,0.0,0.077,0.0,1.0,2.0,0.25,0.308,0.0,0.25,4.0,2.0,1.0,0.154,1.0,0.154,0.0,0.5,0.0,0.375,6,0.0,3,0.375,8,2.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,5.0,0.4,0.0,3.0,0.0,1.0,G,74.0,128.0,0.219,0.578,-0.008,0.586,MEM,,5.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.4,0.0,0.333,0.0,2.0,,,1.0,,0.0,3.0,,0.333,0.0,0.0,0.0,,0.0,,0,0,0.0,,0.0,2016,20160304,False,21500918
