PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,team_poss,E_PACE,PACE_RANK,sp_work_OFF_RATING,TS_PCT,REB_PCT,E_DEF_RATING,PACE,sp_work_DEF_RATING_RANK,E_NET_RATING,sp_work_NET_RATING_RANK,EFG_PCT,sp_work_DEF_RATING,sp_work_OFF_RATING_RANK,DEF_RATING,FGM_PG_RANK,AST_RATIO_RANK,USG_PCT_RANK,TM_TOV_PCT_RANK,FGA_PG_RANK,EFG_PCT_RANK,OFF_RATING,AST_RATIO,TM_TOV_PCT,E_OFF_RATING,OREB_PCT_RANK,DEF_RATING_RANK,NET_RATING_RANK,E_DEF_RATING_RANK,USG_PCT,OFF_RATING_RANK,sp_work_PACE_RANK,FGM_PG,E_TOV_PCT_RANK,NET_RATING,AST_TO,DREB_PCT,E_NET_RATING_RANK,AST_PCT,PIE_RANK,REB_PCT_RANK,E_PACE_RANK,AST_TO_RANK,E_USG_PCT_RANK,POSS,DREB_PCT_RANK,FGA_PG,E_TOV_PCT,sp_work_NET_RATING,sp_work_PACE,OREB_PCT,E_USG_PCT,PIE,AST_PCT_RANK,PACE_PER40,TS_PCT_RANK,E_OFF_RATING_RANK,PASSES_MADE,AST_PTS_CREATED,PASSES_RECEIVED,FT_AST,AST_ADJ,POTENTIAL_AST,AST_TO_PASS_PCT_ADJ,SECONDARY_AST,AST_TO_PASS_PCT,DRIVE_AST,DRIVE_PF_PCT,DRIVES,DRIVE_FGA,DRIVE_PASSES,DRIVE_PTS,DRIVE_TOV_PCT,DRIVE_FTM,DRIVE_FT_PCT,DRIVE_PF,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_PASSES_PCT,DRIVE_FGM,DRIVE_FG_PCT,DRIVE_PTS_PCT,DRIVE_FTA,PTS_PER_POST_TOUCH,PTS_PER_ELBOW_TOUCH,AVG_SEC_PER_TOUCH,TOUCHES,POINTS,PTS_PER_PAINT_TOUCH,POST_TOUCHES,TIME_OF_POSS,AVG_DRIB_PER_TOUCH,PAINT_TOUCHES,ELBOW_TOUCHES,PTS_PER_TOUCH,FRONT_CT_TOUCHES,REB_CHANCES,DREB_CONTEST_PCT,OREB_CONTEST,OREB_CHANCE_PCT,OREB_CHANCES,OREB_CHANCE_PCT_ADJ,AVG_REB_DIST,OREB_CONTEST_PCT,DREB_CHANCE_DEFER,REB_CHANCE_PCT,OREB_UNCONTEST,REB_CHANCE_DEFER,REB_CONTEST,OREB_CHANCE_DEFER,DREB_CHANCE_PCT,DREB_CHANCE_PCT_ADJ,REB_UNCONTEST,DREB_CHANCES,AVG_OREB_DIST,AVG_DREB_DIST,DREB_CONTEST,REB_CHANCE_PCT_ADJ,REB_CONTEST_PCT,DREB_UNCONTEST,very_tight_FGA_FREQUENCY,very_tight_FG3M,very_tight_FG_PCT,very_tight_FGM,G,PLAYER_LAST_TEAM_ID,very_tight_FG2_PCT,very_tight_FG2M,very_tight_FG3A,PLAYER_LAST_TEAM_ABBREVIATION,very_tight_FG3_PCT,very_tight_EFG_PCT,very_tight_FG3A_FREQUENCY,very_tight_FG2A,very_tight_FGA,very_tight_FG2A_FREQUENCY,tight_EFG_PCT,tight_FG2_PCT,tight_FGM,tight_FG2A,tight_FG_PCT,tight_FGA_FREQUENCY,tight_FG3A,tight_FG3A_FREQUENCY,tight_FG2M,tight_FG2A_FREQUENCY,tight_FG3M,tight_FGA,tight_FG3_PCT,open_FG2A,open_FG_PCT,open_FG2M,open_FG3_PCT,open_FGA,open_EFG_PCT,open_FG2A_FREQUENCY,open_FGA_FREQUENCY,open_FG3A,open_FG3M,open_FG2_PCT,open_FG3A_FREQUENCY,open_FGM,wide_open_FG3A_FREQUENCY,wide_open_FGM,wide_open_FG2M,wide_open_FG2_PCT,wide_open_FG2A,wide_open_FG3M,wide_open_FG2A_FREQUENCY,wide_open_FG3A,wide_open_FGA_FREQUENCY,wide_open_FG3_PCT,wide_open_FGA,wide_open_FG_PCT,wide_open_EFG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_EFG_PCT,PULL_UP_FGM,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_FGA,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,EFF_FG_PCT,ELBOW_TOUCH_FG_PCT,PAINT_TOUCH_FG_PCT,POST_TOUCH_FG_PCT,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,PAINT_TOUCH_PTS,CORNER_3_FG_PCT,MID_FGA,BACKCOURT_FGM,LEFT_CORNER_3_FG_PCT,MID_FG_PCT,ITP_FG_PCT,ITP_FGM,RIGHT_CORNER_3_FGA,BACKCOURT_FGA,CORNER_3_FGA,LEFT_CORNER_3_FGA,MID_FGM,ITP_FGA,RIGHT_CORNER_3_FG_PCT,LEFT_CORNER_3_FGM,RA_FGA,RA_FGM,ABOVE_BREAK_3_FGM,CORNER_3_FGM,BACKCOURT_FG_PCT,RIGHT_CORNER_3_FGM,ABOVE_BREAK_3_FGA,ABOVE_BREAK_3_FG_PCT,RA_FG_PCT,PLAYER_POSITION,FREQ,NS_LT_06_PCT,LT_06_PCT,FGA_LT_06,FGM_LT_06,PLUSMINUS,FGP_25_29,FGA_20_24,FGA_10_14,FGP_5_9,FGP_20_24,FGP_30_34,FGA_40_PLUS,FGM_25_29,FGA_25_29,FGM_LT_5,FGA_15_19,TEAM_ABBR,FGM_10_14,FGA_5_9,FGA_35_39,FGM_20_24,FGP_40_PLUS,FGM_40_PLUS,FGM_5_9,FGM_30_34,FGP_10_14,FGP_35_39,FGP_15_19,FGA_LT_5,FGA_30_34,FGM_35_39,FGM_15_19,FGP_LT_5,CATCH_SHOOT_FGM,CATCH_SHOOT_FG3M,CATCH_SHOOT_FGA,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,CATCH_SHOOT_FG3A,year,date,playoffs,GAME_ID,index,HTM,VTM
203932,Aaron Gordon,Aaron,1610612753.0,ORL,22.0,1,0,1,0.0,35.3,4,10,0.4,2,4,0.5,6,6,1.0,1,8,9,2,0,1,2,0,0,5,16,-9,38.8,0,0,35.0,1,113,113,113,22,71,58,123,30,44,34,4,9,1,42,11,14,72,144,44,8,1,1,7,40,180,21,14,1,28,,98.94,72,105.4,0.633,0.118,117.1,100.62,168,-7.6,144,0.5,117.6,104,117.6,71,119,132,1,58,99,105.4,13.3,0.0,109.5,95,168,144,167,0.16,104,72,4.0,1,-12.2,0.0,0.205,133,0.083,56,57,93,108,135,74,50,10.0,0.0,-12.2,100.62,0.027,0.162,0.139,124,83.85,73,89,48.0,5.0,23.0,1.0,4.0,5.0,0.083,1.0,0.042,0.0,0.5,2.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0,1.0,0.0,2.2,61.0,16.0,2.0,2.0,2.2,1.11,2.0,0.0,0.262,25.0,21.0,0.375,0.0,0.2,5.0,0.2,7.0,0.0,1.0,0.429,1.0,1.0,3.0,0.0,0.5,0.533,6.0,16.0,29.2,4.2,3.0,0.45,0.333,5.0,0.2,0.0,0.5,1.0,1.0,1610612753.0,0.5,1.0,0.0,ORL,,0.5,0.0,2.0,2.0,0.2,0.5,0.5,1.0,2.0,0.5,0.2,0.0,0.0,1.0,0.2,0.0,2.0,,1.0,0.5,0.0,1.0,2.0,0.75,0.1,0.2,1.0,1.0,0.0,0.1,1.0,0.3,1.0,0.0,0.0,1.0,1.0,0.1,3.0,0.4,0.333,4.0,0.25,0.375,3,1.0,0.75,1,0.5,1.0,1.0,2,3.0,0.25,0.5,0.0,1.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,3.0,0.333,0.5,F,0.497,0.606,0.64,89.0,57.0,0.034,0.333,3.0,0.0,0.0,0.333,,0.0,1.0,3.0,2.0,0.0,ORL,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,,0.0,4.0,,,0.0,0.5,1,1.0,4,0.333,0.375,3.0,2018,20171125,False,21700278,,,
101161,Amir Johnson,Amir,1610612755.0,PHI,31.0,1,1,0,1.0,18.661666666666665,3,5,0.6,0,1,0.0,0,0,0.0,1,5,6,1,0,0,1,0,2,0,6,3,17.7,0,0,15.0,1,1,1,1,140,102,122,44,97,119,97,119,122,119,42,27,34,108,144,103,21,1,116,158,121,82,105,14,1,111,,114.36,7,115.2,0.6,0.15,111.2,118.32,133,9.4,87,0.6,108.7,75,108.7,102,93,192,1,122,72,115.2,16.7,0.0,120.6,58,133,87,140,0.104,75,7,3.0,1,6.5,0.0,0.227,81,0.059,114,36,4,108,193,46,43,5.0,0.0,6.5,118.32,0.056,0.109,0.084,138,98.6,89,55,19.0,2.0,18.0,0.0,1.0,2.0,0.053,0.0,0.053,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.571,1.58,24.0,6.0,1.0,0.0,0.6,0.58,4.0,7.0,0.25,19.0,11.0,0.2,1.0,0.2,5.0,0.2,3.7,1.0,1.0,0.545,0.0,1.0,2.0,0.0,0.833,1.0,4.0,6.0,6.2,3.3,1.0,0.6,0.333,4.0,0.4,0.0,0.5,1.0,1.0,1610612755.0,0.5,1.0,0.0,PHI,,0.5,0.0,2.0,2.0,0.4,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,1.0,0.2,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.2,0.2,0.0,0.0,1.0,0.0,1.0,0.2,0.0,0.0,,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.0,0.0,0,0.0,,0,,0.0,,0,2.0,0.5,0.6,1.0,0.667,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,C-F,0.522,0.597,0.561,82.0,46.0,-0.036,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0,0.0,PHI,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1,0.0,2,0.0,0.5,1.0,2018,20171125,False,21700278,,,
201167,Arron Afflalo,Arron,1610612753.0,ORL,32.0,1,0,1,0.0,7.75,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-5,0.0,0,0,0.0,1,113,113,113,192,190,211,190,97,167,97,119,122,119,100,187,198,148,144,103,60,1,60,158,198,150,214,14,1,214,,89.06,117,75.0,0.0,0.0,114.2,96.0,151,-27.8,192,0.0,113.3,199,113.3,190,148,218,1,211,190,75.0,0.0,0.0,86.5,100,151,192,154,0.0,199,117,0.0,1,-38.3,0.0,0.0,183,0.0,211,198,211,108,218,16,187,0.0,0.0,-38.3,96.0,0.0,0.0,-0.037,148,80.0,198,176,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,4.0,0.0,0.0,1.0,0.2,0.5,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,G,0.269,0.564,0.429,14.0,6.0,-0.135,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,ORL,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0,,0,,,,2018,20171125,False,21700278,,,
202687,Bismack Biyombo,Bismack,1610612753.0,ORL,25.0,1,0,1,0.0,13.95,1,2,0.5,0,0,0.0,1,2,0.5,0,3,3,1,1,0,2,0,2,1,3,-12,13.1,0,0,11.0,1,113,113,113,168,150,180,77,97,167,97,84,50,95,100,74,94,108,73,103,8,1,116,95,159,189,133,14,1,138,,104.81,25,90.3,0.521,0.103,131.1,106.67,195,-39.0,195,0.5,129.0,165,129.0,150,70,178,182,180,99,90.3,20.0,20.0,92.1,100,195,195,197,0.118,165,25,1.0,189,-38.7,1.0,0.214,194,0.111,146,80,34,67,179,31,47,2.0,20.5,-38.7,106.67,0.0,0.12,0.05,101,88.89,115,160,14.0,2.0,10.0,0.0,1.0,1.0,0.071,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.53,20.0,3.0,0.333,0.0,0.5,0.15,3.0,5.0,0.15,10.0,7.0,0.0,0.0,0.0,3.0,0.0,5.3,0.0,0.0,0.429,0.0,0.0,0.0,0.0,0.75,0.75,3.0,4.0,0.0,5.3,0.0,0.429,0.0,3.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,1.0,,1.0,0.0,0.0,,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,,,0,,,,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,3.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,C,0.41,0.596,0.515,68.0,35.0,-0.081,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,ORL,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0,,1,,0.0,,2018,20171125,False,21700278,,,
201571,D.J. Augustin,D.J.,1610612753.0,ORL,30.0,1,0,1,0.0,17.433333333333334,5,10,0.5,3,5,0.6,1,1,1.0,0,0,0,1,1,0,0,1,1,1,14,-9,14.5,0,0,18.0,1,113,113,113,144,52,58,77,18,31,25,84,103,1,100,187,198,108,73,103,60,158,60,95,54,180,124,14,1,99,,107.22,18,112.8,0.67,0.0,134.9,108.76,200,-20.9,169,0.65,132.5,82,132.5,52,135,32,115,58,62,112.8,8.3,8.3,114.0,100,200,169,202,0.275,82,18,5.0,115,-19.7,1.0,0.0,168,0.111,112,198,20,67,28,39,187,10.0,8.0,-19.7,108.76,0.0,0.296,0.085,101,90.63,61,75,27.0,3.0,38.0,0.0,1.0,3.0,0.037,0.0,0.037,0.0,0.0,7.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,2.0,0.5,0.714,0.0,0.0,0.0,5.16,38.0,14.0,0.0,0.0,3.3,5.39,0.0,0.0,0.368,12.0,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.0,0.333,1.0,1.0,1610612753.0,0.5,1.0,1.0,ORL,0.0,0.333,0.111,2.0,3.0,0.222,0.0,0.0,0.0,1.0,0.0,0.222,1.0,0.111,0.0,0.111,0.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.333,0.111,0.333,2.0,2.0,1.0,0.222,3.0,0.111,1.0,0.0,,0.0,1.0,0.0,1.0,0.111,1.0,1.0,1.0,1.5,5,1.0,0.625,2,0.5,3.0,0.333,4,6.0,1.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,2.0,1.0,,,4.0,0.5,0.333,G,0.308,0.585,0.679,28.0,19.0,0.094,0.5,1.0,0.0,0.0,1.0,,,2.0,4.0,1.0,1.0,ORL,0.0,1.0,,1.0,,,0.0,,0.0,,1.0,3.0,,,1.0,0.333,2,2.0,2,1.0,1.5,2.0,2018,20171125,False,21700278,,,
203967,Dario Šarić,Dario,1610612755.0,PHI,24.0,1,1,0,1.0,33.766666666666666,8,13,0.615,1,4,0.25,4,4,1.0,3,4,7,4,2,0,0,0,2,3,21,9,33.4,0,0,33.0,1,1,1,1,28,18,31,42,56,44,82,17,25,1,8,42,21,36,40,103,60,1,116,31,19,47,38,14,1,30,,102.32,29,124.0,0.711,0.113,117.2,105.9,152,11.5,80,0.654,113.5,38,113.5,18,83,81,123,31,60,124.0,19.0,9.5,128.7,23,152,80,168,0.207,38,29,8.0,124,10.5,2.0,0.125,74,0.154,72,66,62,30,86,75,102,13.0,9.6,10.5,105.9,0.1,0.211,0.121,84,88.25,52,29,58.0,10.0,53.0,0.0,4.0,8.0,0.069,0.0,0.069,1.0,0.333,3.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,0.333,0.0,0.0,1.0,1.0,1.333,2.0,0.0,0.286,1.41,77.0,21.0,1.0,1.0,1.8,0.3,8.0,7.0,0.273,54.0,13.0,0.25,2.0,0.5,6.0,0.5,4.3,0.667,1.0,0.538,1.0,1.0,3.0,0.0,0.444,0.5,4.0,9.0,4.4,4.1,1.0,0.583,0.429,3.0,0.154,0.0,1.0,2.0,1.0,1610612755.0,1.0,2.0,0.0,PHI,,1.0,0.0,2.0,2.0,0.154,0.875,0.667,3.0,3.0,0.75,0.308,1.0,0.077,2.0,0.231,1.0,4.0,1.0,2.0,0.333,1.0,0.0,3.0,0.333,0.154,0.231,1.0,0.0,0.5,0.077,1.0,0.154,2.0,2.0,1.0,2.0,0.0,0.154,2.0,0.308,0.0,4.0,0.5,0.5,0,0.0,,0,,0.0,,0,5.0,0.4,0.654,0.5,0.667,0.0,0.0,2.0,8.0,0.5,1.0,0.0,0.0,1.0,0.5,1.0,2.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,6.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.833,F,0.4,0.608,0.538,80.0,43.0,-0.07,0.0,2.0,1.0,1.0,0.5,,0.0,0.0,2.0,5.0,1.0,PHI,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,6.0,,0.0,1.0,0.833,2,1.0,5,0.25,0.5,4.0,2018,20171125,False,21700278,,,
101141,Ersan Ilyasova,Ersan,1610612755.0,PHI,31.0,1,0,1,0.0,21.53333333333333,1,7,0.143,0,3,0.0,0,0,0.0,1,3,4,1,0,1,0,1,0,1,2,-12,11.3,0,0,9.0,1,113,113,113,118,150,102,185,97,64,97,119,122,119,42,74,66,108,144,44,60,158,1,95,172,189,143,14,1,153,,91.44,158,83.3,0.143,0.098,115.6,93.62,143,-31.1,184,0.143,111.9,184,111.9,150,122,160,1,102,186,83.3,12.5,0.0,84.5,78,143,184,164,0.14,184,158,1.0,1,-28.6,0.0,0.2,186,0.1,174,88,197,108,153,42,51,7.0,0.0,-28.6,93.62,0.038,0.148,0.021,113,78.02,196,181,32.0,2.0,24.0,0.0,1.0,2.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,40.0,2.0,0.0,1.0,1.0,0.88,1.0,0.0,0.05,23.0,8.0,0.333,0.0,0.333,3.0,0.333,5.7,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.6,0.75,3.0,5.0,9.5,4.5,1.0,0.571,0.25,2.0,0.167,0.0,1.0,1.0,1.0,1610612755.0,1.0,1.0,0.0,PHI,,1.0,0.0,1.0,1.0,0.167,0.0,0.0,0.0,1.0,0.0,0.333,1.0,0.167,0.0,0.167,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.167,0.333,1.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,,0.0,0.0,0.0,1.0,0.167,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,2,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,F,0.432,0.595,0.514,35.0,18.0,-0.081,0.0,4.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,PHI,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,0.0,1.0,0,0.0,3,0.0,0.0,3.0,2018,20171125,False,21700278,,,
203095,Evan Fournier,Evan,1610612753.0,ORL,25.0,1,0,1,0.0,32.483333333333334,4,9,0.444,2,5,0.4,3,4,0.75,0,2,2,1,2,1,0,0,1,4,13,-6,17.9,0,0,20.0,1,113,113,113,40,71,73,106,30,31,54,27,25,77,100,106,124,108,40,44,60,1,60,14,63,158,102,14,1,87,,106.54,22,113.7,0.604,0.032,122.9,107.87,184,-7.3,136,0.556,121.9,79,121.9,71,138,126,146,73,90,113.7,7.1,14.3,115.6,100,184,136,185,0.165,79,22,4.0,154,-8.2,0.5,0.065,130,0.04,152,175,22,96,125,73,159,9.0,14.5,-8.2,107.87,0.0,0.168,0.045,145,89.89,86,71,20.0,3.0,25.0,0.0,1.0,3.0,0.05,0.0,0.05,0.0,0.25,4.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.5,2.0,0.0,0.0,2.36,34.0,13.0,0.0,0.0,1.3,1.47,1.0,0.0,0.382,25.0,9.0,0.5,0.0,0.0,2.0,0.0,8.5,0.0,2.0,0.222,0.0,2.0,1.0,0.0,0.286,0.4,1.0,7.0,0.0,8.5,1.0,0.286,0.5,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.222,0.0,0.0,0.0,0.222,0.0,2.0,,2.0,0.75,2.0,0.5,4.0,0.875,0.222,0.444,2.0,1.0,1.0,0.222,3.0,0.333,1.0,0.0,,0.0,1.0,0.0,3.0,0.333,0.333,3.0,0.333,0.5,3,1.0,0.5,1,0.333,2.0,0.5,3,7.0,0.6,0.556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.333,0.0,G-F,0.403,0.609,0.609,87.0,53.0,0.0,0.5,3.0,2.0,0.0,0.667,,1.0,1.0,2.0,0.0,1.0,ORL,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,3,1.0,5,0.333,0.7,3.0,2018,20171125,False,21700278,,,
1627788,Furkan Korkmaz,Furkan,1610612755.0,PHI,20.0,1,1,0,1.0,1.5,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,0,0,0,0,0,5.7,0,0,4.0,1,1,1,1,220,190,180,190,97,119,97,119,122,119,100,141,155,108,144,44,60,1,1,158,198,104,181,14,1,190,,112.0,1,50.0,0.0,0.2,50.0,128.0,2,16.7,110,0.0,50.0,217,50.0,190,23,1,1,180,190,50.0,33.3,0.0,66.7,100,2,110,2,0.4,217,1,0.0,1,0.0,0.0,0.5,60,1.0,32,19,8,108,1,4,3,2.0,0.0,0.0,128.0,0.0,0.5,0.182,1,106.67,198,211,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,4.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0,0.0,,0,,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,1.0,,1.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,PHI,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0,0.0,2,0.0,0.0,1.0,2018,20171125,False,21700278,,,
200755,JJ Redick,JJ,1610612755.0,PHI,34.0,1,1,0,1.0,33.166666666666664,10,18,0.556,8,12,0.667,1,1,1.0,2,3,5,1,1,0,0,1,2,3,29,13,35.5,0,0,43.0,1,1,1,1,33,7,12,58,1,3,17,84,103,1,16,74,49,108,73,103,60,158,116,31,5,29,31,14,1,12,,101.51,52,128.2,0.786,0.075,112.1,102.75,139,16.5,59,0.778,109.9,30,109.9,7,147,62,96,12,32,128.2,5.0,5.0,128.7,54,139,59,143,0.238,30,52,10.0,96,18.3,1.0,0.086,62,0.043,55,112,73,67,62,71,144,18.0,4.9,18.3,102.75,0.063,0.244,0.143,143,85.63,38,28,37.0,3.0,46.0,0.0,1.0,4.0,0.027,0.0,0.027,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,58.0,29.0,0.0,0.0,1.8,0.9,0.0,0.0,0.5,53.0,7.0,0.0,0.0,1.0,2.0,1.0,21.9,0.0,0.0,0.714,2.0,0.0,0.0,0.0,0.6,0.6,5.0,5.0,37.5,11.5,0.0,0.714,0.0,3.0,,,,,,,,,,,,,,,,,0.5,0.5,2.0,2.0,0.4,0.294,3.0,0.176,1.0,0.118,1.0,5.0,0.333,1.0,0.667,0.0,1.0,3.0,1.0,0.059,0.176,2.0,2.0,0.0,0.118,2.0,0.412,6.0,1.0,0.5,2.0,5.0,0.118,7.0,0.529,0.714,9.0,0.667,0.944,14,4.0,0.778,5,0.556,6.0,0.667,9,14.0,0.556,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.667,0.0,G-F,0.34,0.601,0.673,49.0,33.0,0.073,0.727,5.0,1.0,0.0,0.4,,0.0,8.0,11.0,0.0,1.0,PHI,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5,4.0,8,0.667,0.875,6.0,2018,20171125,False,21700278,,,
