PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,team_poss,E_DEF_RATING_RANK,sp_work_OFF_RATING,OFF_RATING,E_NET_RATING,sp_work_DEF_RATING,PIE_RANK,POSS,USG_PCT,AST_PCT_RANK,NET_RATING_RANK,DEF_RATING_RANK,AST_TO_RANK,FGM_PG,sp_work_NET_RATING,TM_TOV_PCT,E_USG_PCT,sp_work_DEF_RATING_RANK,sp_work_OFF_RATING_RANK,REB_PCT_RANK,sp_work_NET_RATING_RANK,DEF_RATING,AST_TO,FGA_PG,AST_PCT,EFG_PCT,AST_RATIO_RANK,OREB_PCT,E_TOV_PCT_RANK,E_DEF_RATING,PACE,DREB_PCT,E_PACE,NET_RATING,DREB_PCT_RANK,TM_TOV_PCT_RANK,sp_work_PACE_RANK,USG_PCT_RANK,PACE_PER40,E_PACE_RANK,TS_PCT,PACE_RANK,OREB_PCT_RANK,sp_work_PACE,E_USG_PCT_RANK,OFF_RATING_RANK,E_NET_RATING_RANK,TS_PCT_RANK,E_OFF_RATING,FGM_PG_RANK,PIE,E_TOV_PCT,E_OFF_RATING_RANK,AST_RATIO,EFG_PCT_RANK,FGA_PG_RANK,REB_PCT,FT_AST,AST_ADJ,SECONDARY_AST,POTENTIAL_AST,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,AST_PTS_CREATED,PASSES_RECEIVED,PASSES_MADE,DRIVE_FTA,DRIVE_PASSES,DRIVE_TOV,DRIVE_FG_PCT,DRIVE_PF_PCT,DRIVE_PTS_PCT,DRIVES,DRIVE_FTM,DRIVE_PF,DRIVE_TOV_PCT,DRIVE_PASSES_PCT,DRIVE_PTS,DRIVE_FGA,DRIVE_AST_PCT,DRIVE_FT_PCT,DRIVE_AST,DRIVE_FGM,TOUCHES,PTS_PER_PAINT_TOUCH,POST_TOUCHES,PTS_PER_ELBOW_TOUCH,ELBOW_TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,PTS_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_POST_TOUCH,POINTS,TIME_OF_POSS,PAINT_TOUCHES,REB_CHANCE_PCT,REB_CHANCE_DEFER,OREB_CHANCES,DREB_UNCONTEST,DREB_CHANCE_PCT,OREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,OREB_CHANCE_DEFER,REB_CONTEST,DREB_CONTEST,AVG_OREB_DIST,OREB_CONTEST_PCT,REB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,DREB_CHANCE_PCT_ADJ,AVG_REB_DIST,REB_UNCONTEST,OREB_UNCONTEST,OREB_CHANCE_PCT,DREB_CONTEST_PCT,REB_CHANCES,OREB_CONTEST,very_tight_FGM,PLAYER_LAST_TEAM_ABBREVIATION,very_tight_FGA_FREQUENCY,very_tight_FG_PCT,very_tight_EFG_PCT,PLAYER_LAST_TEAM_ID,very_tight_FGA,very_tight_FG3M,G,very_tight_FG2M,very_tight_FG3A_FREQUENCY,very_tight_FG3_PCT,very_tight_FG2A,very_tight_FG2A_FREQUENCY,very_tight_FG2_PCT,very_tight_FG3A,tight_FG_PCT,tight_FG2A_FREQUENCY,tight_FG2A,tight_FGM,tight_FG3M,tight_FG2M,tight_FGA,tight_FG3A_FREQUENCY,tight_FGA_FREQUENCY,tight_FG3_PCT,tight_FG3A,tight_FG2_PCT,tight_EFG_PCT,open_FG2_PCT,open_FGA,open_FG3A,open_FG2M,open_EFG_PCT,open_FG3M,open_FG2A,open_FGA_FREQUENCY,open_FG3A_FREQUENCY,open_FG3_PCT,open_FG_PCT,open_FGM,open_FG2A_FREQUENCY,wide_open_FGA_FREQUENCY,wide_open_EFG_PCT,wide_open_FG3A_FREQUENCY,wide_open_FG2A,wide_open_FG2M,wide_open_FG3_PCT,wide_open_FG_PCT,wide_open_FG2_PCT,wide_open_FG3M,wide_open_FG3A,wide_open_FG2A_FREQUENCY,wide_open_FGM,wide_open_FGA,PULL_UP_EFG_PCT,PULL_UP_FG3_PCT,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FGA,PULL_UP_FGM,PULL_UP_PTS,PULL_UP_FG3A,POST_TOUCH_PTS,PAINT_TOUCH_FG_PCT,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,CATCH_SHOOT_PTS,PAINT_TOUCH_PTS,EFF_FG_PCT,POST_TOUCH_FG_PCT,CATCH_SHOOT_FG_PCT,RIGHT_CORNER_3_FG_PCT,ABOVE_BREAK_3_FGM,ITP_FGA,ITP_FGM,BACKCOURT_FG_PCT,CORNER_3_FGA,LEFT_CORNER_3_FGA,BACKCOURT_FGA,BACKCOURT_FGM,LEFT_CORNER_3_FG_PCT,CORNER_3_FG_PCT,MID_FGA,RIGHT_CORNER_3_FGA,MID_FGM,RA_FGM,RIGHT_CORNER_3_FGM,MID_FG_PCT,CORNER_3_FGM,RA_FGA,ITP_FG_PCT,ABOVE_BREAK_3_FGA,ABOVE_BREAK_3_FG_PCT,RA_FG_PCT,LEFT_CORNER_3_FGM,FREQ,PLAYER_POSITION,LT_06_PCT,FGM_LT_06,PLUSMINUS,FGA_LT_06,NS_LT_06_PCT,FGP_30_34,FGM_20_24,FGM_5_9,FGA_LT_5,FGM_40_PLUS,FGM_35_39,FGP_5_9,FGA_25_29,FGP_LT_5,FGP_25_29,FGA_5_9,FGA_15_19,FGA_20_24,FGP_15_19,FGM_10_14,FGA_40_PLUS,FGP_40_PLUS,FGP_20_24,FGP_10_14,FGM_LT_5,FGA_30_34,FGM_30_34,FGA_10_14,FGM_25_29,FGP_35_39,FGA_35_39,FGM_15_19,TEAM_ABBR,CATCH_SHOOT_FGM,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3M,CATCH_SHOOT_FGA,CATCH_SHOOT_EFG_PCT,year,date,playoffs,GAME_ID,index,HTM,VTM
202687,Bismack Biyombo,Bismack,1610612766,CHA,28.0,1,0,1,0.0,13.866666666666667,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,1,4,0,2,-10,2.5,0,0,3.0,1,67,67,67,105,98,108,43,72,99,72,66,72,66,58,111,113,66,48,62,36,92,105,89,104,98,115,9,1,113,,108,93.5,93.5,-26.6,125.8,122,31,0.094,72,108,107,39,1.0,-32.3,25.0,0.099,107,107,113,108,125.8,1.0,2.0,0.091,0.5,28,0.0,112,125.5,107.31,0.0,104.54,-32.3,111,110,24,110,89.42,48,0.5,24,58,107.31,108,107,105,72,98.9,98,-0.048,25.0,88,25.0,63,108,0.0,0.0,1,0,3,0.091,0.091,2,12,11,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,14,0.667,2,0.0,0,11,1.94,0.143,0.71,0.0,2,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.5,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,0,0,0,,0,1.0,0.0,0,0,2,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.388,C,0.509,59.0,-0.112,116.0,0.62,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHA,0,,,,0,,2021,20210222,False,22000478,,,
202711,Bojan Bogdanović,Bojan,1610612762,UTA,32.0,1,1,0,1.0,26.133333333333333,4,8,0.5,0,4,0.0,2,4,0.5,1,3,4,2,3,1,0,0,1,3,10,-8,17.8,0,0,18.0,1,1,1,1,56,45,56,43,72,43,72,25,16,52,31,52,53,40,16,21,36,1,32,26,57,94,71,9,1,64,,103,103.4,103.4,-17.8,117.2,79,58,0.206,52,90,95,52,4.0,-13.8,20.0,0.204,95,71,56,90,117.2,0.67,8.0,0.118,0.5,64,0.045,105,120.6,106.53,0.12,105.43,-13.8,71,102,30,46,88.78,39,0.512,30,34,106.53,52,71,96,66,102.7,45,0.059,20.3,74,13.3,63,56,0.085,0.0,3,1,3,0.071,0.107,6,29,28,2,1,2,1.0,0.2,0.6,5,1,1,0.4,0.2,3,1,0.0,0.5,0,1,41,0.0,3,0.0,0,26,2.3,0.244,1.29,1.333,10,1.6,1,0.571,1.0,2.0,3.0,0.6,0.5,6.4,0.0,1.0,0.0,6.1,1.0,0.25,5.0,1.0,0.667,0.75,6.3,3.0,0.0,0.5,0.0,7.0,1.0,1.0,UTA,0.125,1.0,1.0,1610612762.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.125,1.0,0.0,0.5,0.125,1.0,1.0,0.0,1.0,2.0,0.125,0.25,0.0,1.0,1.0,0.5,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.25,0.0,,1.0,2.0,0.25,0.375,0.0,0.375,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,3.0,1.0,,1.0,0.0,2,2,4,0.0,4,0.0,0.0,0,0,0,0.5,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.347,F,0.598,61.0,-0.021,102.0,0.619,,0.0,3.0,0.0,0.0,,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,1.0,0.0,,,0.0,UTA,0,0.0,3.0,0.0,3,0.0,2021,20210222,False,22000478,,,
1628998,Cody Martin,Cody,1610612766,CHA,25.0,1,0,1,0.0,3.033333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,1,67,67,67,120,110,120,110,72,99,72,66,72,66,58,111,113,87,80,62,36,1,1,89,111,74,121,9,1,121,,125,100.0,100.0,-40.9,157.1,105,8,0.0,87,123,124,64,0.0,-57.1,0.0,0.0,124,82,113,123,157.1,0.0,0.0,0.0,0.0,87,0.0,1,157.1,118.68,0.0,109.82,-57.1,111,1,1,121,98.9,15,0.0,1,58,118.68,121,82,116,111,116.3,110,0.0,0.0,29,0.0,110,120,0.0,0.0,0,0,1,0.0,0.0,0,1,3,0,1,0,0.0,0.0,0.0,1,0,0,0.0,1.0,0,0,0.0,0.0,0,0,3,0.0,0,0.0,0,1,1.4,0.0,0.67,0.0,0,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.423,F,0.567,17.0,-0.038,30.0,0.604,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,CHA,0,,,,0,,2021,20210222,False,22000478,,,
203469,Cody Zeller,Cody,1610612766,CHA,28.0,1,0,1,0.0,20.766666666666666,3,9,0.333,0,1,0.0,2,2,1.0,4,3,7,3,3,0,0,2,4,4,8,-3,17.9,0,0,18.0,1,67,67,67,85,60,43,81,72,86,72,25,37,1,2,52,19,31,16,62,36,113,105,16,66,74,70,9,1,64,,89,106.3,106.3,-10.4,117.4,95,48,0.232,36,84,96,39,3.0,-11.1,18.8,0.232,96,61,9,84,117.4,1.0,9.0,0.176,0.333,45,0.174,101,113.6,108.64,0.214,112.01,-11.1,23,100,15,32,90.53,9,0.405,15,1,108.64,36,61,82,90,103.2,60,0.032,18.9,72,18.8,87,43,0.189,0.0,3,0,6,0.091,0.091,6,32,33,0,0,0,1.0,0.0,2.0,1,0,0,0.0,0.0,2,1,0.0,0.0,0,1,48,0.667,0,0.0,5,35,1.87,0.167,0.96,0.0,8,1.5,9,0.467,0.0,8.0,2.0,0.429,0.5,5.0,0.0,5.0,1.0,2.5,1.0,0.714,7.0,0.0,0.467,0.429,3.6,2.0,0.0,0.5,0.333,15.0,4.0,,,,,,,,,,,,,,,,,0.375,0.889,8.0,3.0,0.0,3.0,8.0,0.0,0.889,,0.0,0.375,0.375,,,,,,,,,,,,,,0.111,0.0,0.111,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,,,0.0,0,0,0,0.0,0,0.333,0.0,0,0,6,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.429,0.0,0.458,F-C,0.633,69.0,0.012,109.0,0.621,,0.0,0.0,7.0,0.0,,0.0,0.0,0.429,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,0.0,0.0,,,0.0,CHA,0,0.0,1.0,0.0,1,0.0,2021,20210222,False,22000478,,,
202324,Derrick Favors,Derrick,1610612762,UTA,29.0,1,1,0,1.0,16.883333333333333,2,4,0.5,0,0,0.0,0,0,0.0,0,4,4,1,1,0,0,2,3,0,4,-3,9.3,0,0,9.0,1,1,1,1,96,76,94,43,72,99,72,66,72,66,58,41,53,66,48,62,36,113,82,89,93,74,102,9,1,98,,104,105.6,105.6,-11.8,117.1,89,36,0.128,74,85,94,39,2.0,-11.6,16.7,0.132,94,63,26,85,117.1,1.0,4.0,0.077,0.5,47,0.0,94,120.7,100.93,0.267,97.86,-11.6,12,93,75,91,84.11,90,0.5,75,58,100.93,90,63,86,72,108.9,76,0.04,16.7,49,16.7,63,94,0.121,0.0,1,0,1,0.143,0.143,3,8,7,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,12,0.571,0,2.0,1,8,1.34,0.333,0.25,0.0,4,0.3,7,0.308,1.0,8.0,4.0,0.667,0.0,4.7,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.333,0.667,4.7,4.0,0.0,0.0,0.0,13.0,0.0,,,,,,,,,,,,,,,,,0.333,0.75,3.0,1.0,0.0,1.0,3.0,0.0,0.75,,0.0,0.333,0.333,,,,,,,,,,,,,,0.25,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.25,1.0,1.0,,,,,0,0,0,,0,0.5,1.0,2,0,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.436,F,0.606,83.0,-0.021,137.0,0.627,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,UTA,0,,,,0,,2021,20210222,False,22000478,,,
1628378,Donovan Mitchell,Donovan,1610612762,UTA,24.0,1,1,0,1.0,33.2,8,17,0.471,3,8,0.375,4,4,1.0,2,2,4,8,6,1,0,0,3,3,23,-2,36.8,0,0,40.0,1,1,1,1,17,13,11,57,14,13,44,11,16,1,14,71,53,7,2,21,36,1,82,26,10,72,17,9,1,10,,87,111.0,111.0,-2.4,113.7,42,73,0.304,11,71,87,32,8.0,-2.7,18.8,0.316,87,47,85,71,113.7,1.33,17.0,0.381,0.559,28,0.069,98,112.8,105.54,0.056,106.27,-2.7,99,100,37,12,87.95,37,0.613,37,26,105.54,10,47,71,45,110.4,13,0.117,18.3,45,25.0,52,11,0.062,1.0,9,0,15,0.17,0.191,20,63,47,0,7,3,0.667,0.0,0.529,17,0,0,0.176,0.412,9,6,0.059,0.0,1,4,73,2.0,0,0.0,0,30,4.47,0.315,3.95,0.0,23,5.4,1,0.5,0.0,3.0,2.0,0.4,0.667,9.3,0.0,1.0,0.0,7.7,0.5,0.25,5.0,0.0,0.5,0.4,8.5,3.0,1.0,0.667,0.0,8.0,1.0,,,,,,,,,,,,,,,,,0.625,0.412,7.0,5.0,0.0,5.0,8.0,0.059,0.471,0.0,1.0,0.714,0.625,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.294,0.235,0.0,0.0,0.0,0.059,0.235,1.125,0.176,1.0,0.0,1.0,0.75,0.0,3.0,3.0,0.059,3.0,4.0,0.5,0.5,0.333,2.0,6,2,6,4.0,0,1.0,0.0,0,5,2,0.559,0.0,0.4,0.5,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,0.0,4.0,1.0,0.0,1.0,4.0,0.25,6.0,0.333,1.0,0.0,0.38,G,0.606,66.0,-0.012,109.0,0.618,0.0,1.0,0.0,5.0,0.0,0.0,0.0,6.0,0.8,0.333,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.333,0.5,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,UTA,2,0.25,4.0,1.0,5,0.5,2021,20210222,False,22000478,,,
1627777,Georges Niang,Georges,1610612762,UTA,28.0,1,1,0,1.0,15.916666666666666,7,7,1.0,7,7,1.0,0,0,0.0,1,2,3,1,0,0,0,0,2,0,21,27,26.1,0,0,32.0,1,1,1,1,100,21,68,1,1,17,1,66,72,66,31,71,69,66,80,62,36,1,59,89,14,6,45,9,1,27,,3,150.0,150.0,71.7,77.1,1,36,0.179,62,1,7,64,7.0,72.9,0.0,0.179,7,2,42,1,77.1,0.0,7.0,0.1,1.5,69,0.077,1,77.9,107.06,0.118,106.64,72.9,74,1,26,60,89.21,34,1.5,26,22,107.06,62,2,1,1,149.7,21,0.287,0.0,1,12.5,1,68,0.1,0.0,1,0,4,0.053,0.053,2,13,19,0,1,0,0.0,0.0,0.0,1,0,0,0.0,1.0,0,0,0.0,0.0,0,0,26,0.0,0,0.0,0,14,1.15,0.808,0.31,0.0,21,0.5,0,0.6,0.0,2.0,1.0,0.667,0.5,6.7,0.0,1.0,1.0,21.0,0.0,0.333,3.0,0.0,0.6,0.667,11.4,2.0,1.0,0.5,0.5,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,1.5,2.0,0.0,0.286,0.286,1.0,1.0,2.0,0.0,0.714,1.5,0.714,0.0,0.0,1.0,1.0,,5.0,5.0,0.0,5.0,5.0,1.5,1.0,1.0,1.0,1,1,3,1.0,0,0.0,0.0,0,18,0,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,4.0,0.331,F,0.511,24.0,-0.083,47.0,0.593,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,UTA,6,1.0,6.0,6.0,6,1.5,2021,20210222,False,22000478,,,
202330,Gordon Hayward,Gordon,1610612766,CHA,31.0,1,0,1,0.0,25.73333333333333,9,15,0.6,1,5,0.2,2,2,1.0,1,2,3,2,0,2,1,0,0,2,21,-12,36.6,0,0,33.0,1,67,67,67,59,9,18,28,50,33,63,25,37,1,31,71,69,40,80,7,15,1,1,38,14,106,18,9,1,25,,109,112.3,112.3,-15.2,131.0,21,57,0.25,52,99,111,64,9.0,-18.8,0.0,0.258,111,44,78,99,131.0,0.0,15.0,0.118,0.633,71,0.038,1,128.5,107.25,0.1,107.89,-18.8,83,1,25,25,89.38,27,0.661,25,42,107.25,28,44,90,40,113.2,9,0.173,0.0,36,11.1,40,18,0.065,1.0,4,1,8,0.057,0.114,7,37,35,2,5,0,0.75,0.091,0.727,11,2,1,0.0,0.455,8,4,0.0,1.0,0,3,52,1.333,1,2.0,3,34,2.63,0.404,1.56,0.0,21,2.3,3,0.75,0.0,1.0,1.0,0.667,1.0,8.5,0.0,1.0,1.0,4.1,0.0,0.333,3.0,0.0,0.75,0.667,7.0,2.0,1.0,1.0,0.5,4.0,0.0,,,,,,,,,,,,,,,,,0.25,0.2,3.0,1.0,0.0,1.0,4.0,0.067,0.267,0.0,1.0,0.333,0.25,1.0,8.0,3.0,5.0,0.813,1.0,5.0,0.533,0.2,0.333,0.75,6.0,0.333,0.2,0.667,0.067,2.0,2.0,0.0,0.667,1.0,0.0,1.0,0.133,2.0,3.0,0.688,0.333,0.625,1.0,8,5,11,3.0,0,1.0,1.0,6,2,4,0.633,0.0,0.333,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.667,0.0,3.0,0.75,5.0,0.2,1.0,0.0,0.369,F,0.557,59.0,-0.058,106.0,0.615,0.0,2.0,1.0,3.0,0.0,,0.5,4.0,1.0,0.0,2.0,2.0,2.0,0.5,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,,,1.0,CHA,1,0.0,2.0,0.0,3,0.333,2021,20210222,False,22000478,,,
1629667,Jalen McDaniels,Jalen,1610612766,CHA,23.0,1,0,1,0.0,24.855,1,5,0.2,0,3,0.0,2,4,0.5,0,5,5,0,0,0,0,0,2,2,4,-9,10.0,0,0,9.0,1,67,67,67,65,98,85,103,72,59,72,25,16,52,58,26,36,87,80,62,36,1,59,38,93,95,100,9,1,98,,95,96.3,96.3,-19.1,113.0,102,54,0.123,87,96,86,64,1.0,-16.7,0.0,0.119,86,100,41,96,113.0,0.0,5.0,0.0,0.2,87,0.0,1,115.9,104.28,0.217,102.7,-16.7,22,1,46,96,86.9,62,0.296,46,58,104.28,100,100,101,102,96.8,98,0.01,0.0,97,0.0,104,85,0.102,0.0,0,0,1,0.0,0.0,0,14,19,2,2,1,1.0,0.2,0.6,5,1,1,0.2,0.4,3,1,0.0,0.5,0,1,27,0.0,0,0.0,1,13,2.1,0.148,1.33,0.0,4,0.9,1,0.625,0.0,1.0,3.0,0.714,0.0,7.1,0.0,2.0,2.0,0.0,0.0,0.4,7.0,0.0,0.625,0.714,7.1,3.0,0.0,0.0,0.4,8.0,0.0,,,,,,,,,,,,,,,,,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.2,,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.333,0.0,1.0,0.6,0.4,0.0,0.333,1.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,,,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.313,F-C,0.6,12.0,-0.009,20.0,0.609,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHA,0,0.0,3.0,0.0,3,0.0,2021,20210222,False,22000478,,,
204060,Joe Ingles,Joe,1610612762,UTA,33.0,1,1,0,1.0,30.30333333333333,7,11,0.636,7,10,0.7,0,0,0.0,0,5,5,6,0,0,0,0,1,3,21,32,36.0,0,0,39.0,1,1,1,1,28,21,31,24,1,5,8,66,72,66,58,26,36,10,80,62,36,1,32,26,14,3,20,9,1,14,,22,141.8,141.8,48.5,94.0,17,67,0.151,23,7,26,64,7.0,47.8,0.0,0.151,26,7,63,7,94.0,0.0,11.0,0.231,0.955,9,0.0,1,93.4,106.13,0.147,106.48,47.8,55,1,34,78,88.44,36,0.955,34,58,106.13,81,7,4,4,141.9,21,0.182,0.0,4,35.3,7,31,0.081,0.0,7,1,11,0.118,0.137,17,45,51,0,1,0,0.0,0.0,0.0,2,0,0,0.0,0.5,0,1,0.5,0.0,1,0,63,0.0,0,0.0,0,35,2.91,0.333,1.78,0.0,21,3.1,0,0.714,0.0,0.0,4.0,0.714,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.2,7.0,0.0,0.714,0.714,10.0,4.0,0.0,0.0,0.2,7.0,0.0,,,,,,,,,,,,,,,,,0.0,0.091,1.0,0.0,0.0,0.0,1.0,0.0,0.091,,0.0,0.0,0.0,,2.0,2.0,0.0,1.5,2.0,0.0,0.182,0.182,1.0,1.0,2.0,0.0,0.727,0.938,0.727,0.0,0.0,0.625,0.625,,5.0,8.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,1,0,0,1.0,0,0.0,0.0,0,21,0,0.955,0.0,0.778,1.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,6.0,0.5,0.0,3.0,0.304,F-G,0.652,43.0,0.035,66.0,0.617,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.333,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,UTA,7,0.778,9.0,7.0,9,1.167,2021,20210222,False,22000478,,,
