PLAYER_ID,date,team_poss,overall_def_D_FGM,overall_def_D_FGA,overall_def_D_FG_PCT,overall_def_NORMAL_FG_PCT,overall_def_PCT_PLUSMINUS,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
201166,20160307,94.0,1.0,2.0,0.5,0.424,0.076,1416.0,0.3,0.1,0.1,4.42,3.46,2.57
203932,20160307,110.0,4.0,12.0,0.333,0.473,-0.14,15015.0,2.8,1.6,1.2,4.67,5.19,4.11
203940,20160307,99.0,1.0,1.0,1.0,0.401,0.599,1314.0,0.2,0.1,0.1,3.41,3.5,3.31
2744,20160307,101.0,6.0,10.0,0.6,0.523,0.077,8897.0,1.7,0.9,0.8,3.95,4.28,3.63
1627293,20160307,101.0,0.0,1.0,0.0,0.492,-0.492,724.0,0.1,0.1,0.1,3.16,4.63,9.95
202087,20160307,111.0,4.0,5.0,0.8,0.457,0.343,8237.0,1.6,0.8,0.8,4.93,4.82,5.04
2760,20160307,111.0,,,,,,1862.0,0.4,0.2,0.1,5.68,5.53,2.92
101106,20160307,111.0,5.0,14.0,0.357,0.465,-0.108,7738.0,1.5,0.8,0.7,4.01,4.42,3.63
203952,20160307,99.0,6.0,15.0,0.4,0.432,-0.032,14679.0,2.8,1.4,1.3,4.13,4.31,3.68
203076,20160307,111.0,8.0,17.0,0.471,0.481,-0.01,13716.0,2.6,1.4,1.2,4.14,4.52,3.77
203085,20160307,99.0,2.0,6.0,0.333,0.48,-0.146,9815.0,1.9,1.0,0.8,4.4,4.41,3.9
203463,20160307,111.0,5.0,7.0,0.714,0.41,0.304,5774.0,1.1,0.6,0.5,5.03,5.0,5.06
1626171,20160307,94.0,,,,,,1586.0,0.3,0.2,0.1,4.11,5.13,2.94
2564,20160307,94.0,3.0,5.0,0.6,0.5,0.1,5080.0,1.0,0.6,0.4,4.24,4.71,3.69
201943,20160307,110.0,5.0,6.0,0.833,0.478,0.355,10081.0,1.9,1.0,0.9,4.64,5.16,4.17
201575,20160307,111.0,5.0,9.0,0.556,0.437,0.119,8181.0,1.5,0.8,0.7,4.5,5.09,3.98
201228,20160307,110.0,5.0,10.0,0.5,0.478,0.022,8727.0,1.7,0.8,0.8,4.98,5.12,4.32
202718,20160307,100.0,5.0,10.0,0.5,0.45,0.05,12748.0,2.4,1.4,1.0,4.29,4.6,3.93
101112,20160307,102.0,0.0,2.0,0.0,0.468,-0.468,2003.0,0.4,0.2,0.2,4.88,4.82,4.94
101111,20160307,100.0,0.0,2.0,0.0,0.431,-0.431,2511.0,0.5,0.2,0.2,3.92,3.59,2.79
101108,20160307,99.0,4.0,10.0,0.4,0.428,-0.028,9655.0,1.8,0.9,0.9,3.9,4.08,3.72
203469,20160307,101.0,10.0,15.0,0.667,0.511,0.155,8928.0,1.7,0.9,0.7,4.81,4.64,4.39
202332,20160307,99.0,1.0,6.0,0.167,0.515,-0.348,3601.0,0.7,0.4,0.3,4.26,4.14,4.43
201584,20160307,101.0,3.0,8.0,0.375,0.464,-0.089,10526.0,2.0,1.1,0.9,4.44,4.59,4.28
204014,20160307,99.0,2.0,6.0,0.333,0.424,-0.091,2739.0,0.5,0.2,0.3,4.21,4.01,4.35
201980,20160307,94.0,5.0,8.0,0.625,0.429,0.196,10843.0,2.1,1.1,0.9,4.53,4.62,3.99
201967,20160307,111.0,0.0,4.0,0.0,0.448,-0.448,12150.0,2.3,1.3,1.0,4.84,5.6,4.11
201954,20160307,111.0,3.0,10.0,0.3,0.432,-0.132,12631.0,2.4,1.1,1.3,4.15,3.93,4.36
101135,20160307,100.0,1.0,3.0,0.333,0.506,-0.173,6301.0,1.2,0.6,0.6,4.38,4.43,4.34
2561,20160307,94.0,1.0,7.0,0.143,0.454,-0.311,5335.0,1.0,0.6,0.4,3.79,4.11,3.39
