EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,Fg2aBlocked,ShootingFouls,Fouls,FG2APctBlocked,LongMidRangePctBlocked,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,Minutes,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,FG2M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,Arc3Frequency,PenaltyArc3Frequency,AtRimAssists,LostBallSteals,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefCorner3ReboundPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LostBallTurnovers,Loose Ball Fouls,SelfOReb,Loose Ball Fouls Drawn,SelfORebPct,Corner3FGM,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,PenaltyFg3Pct,ShortMidRangePctBlocked,OffArc3ReboundPct,PenaltyArc3Accuracy,Travels,BlockedShortMidRange,OffensiveGoaltends,BadPassOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,SecondChanceTurnovers,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,BlockedCorner3,DefensiveGoaltends,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,3SecondViolations,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Arc3PctBlocked,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
101114-101139-101156-101261-1905,1610612762,"Deron Williams, CJ Miles, Robert Whaley, Andre Owens, Andrei Kirilenko","Williams, Miles, Whaley, Owens, Kirilenko",101114-101139-101156-101261-1905,UTA,20.0,1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.0,20.0,20.0,1.0,0.3494,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
101114-101139-101156-101261-2743,1610612762,"Deron Williams, CJ Miles, Robert Whaley, Andre Owens, Kris Humphries","Williams, Miles, Whaley, Owens, Humphries",101114-101139-101156-101261-2743,UTA,504.0,3,-4.0,17.0,34.0,4.0,13.0,17.0,2.0,3.0,4.0,0.15384615384615385,,97.14285714285714,14.647058823529411,13.235294117647058,0.2857142857142857,0.4854857142857143,8.307692307692308,8.0,17.0,14.0,16.0,3.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,4.0,1.0,5.0,13.0,1.0,3.0,2.0,3.0,12.0,5.0,11.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,7.0,3.0,10.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,11.0,14.0,3.0,0.5,0.6666666666666666,0.3076923076923077,0.3333333333333333,0.25,0.2857142857142857,0.3333333333333333,0.25,0.38235294117647056,0.3333333333333333,0.36666666666666664,0.07142857142857142,0.4,0.5,0.5,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.5,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.5,0.5,15.0,13.470588235294118,0.35714285714285715,0.4,0.6666666666666666,0.2857142857142857,0.25,0.25,1.0,0.25,0.25,1.0,0.07142857142857142,0.3333333333333333,1.0,0.4166666666666667,0.4,0.42857142857142855,0.4493666666666667,0.49147500000000005,0.15384615384615385,0.8461538461538461,22.5,0.8235294117647058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
101114-101139-101156-1921-731,1610612762,"Deron Williams, CJ Miles, Robert Whaley, Gordan Giricek, Greg Ostertag","Williams, Miles, Whaley, Giricek, Ostertag",101114-101139-101156-1921-731,UTA,28.0,1,-2.0,1.0,3.0,,,2.0,,,,,,154.28571428571428,5.0,5.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,11.5,11.5,,,,,,,,,,,,,,,,1.0,,,,,42.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
101114-101139-101156-1960-2260,1610612762,"Deron Williams, CJ Miles, Robert Whaley, Milt Palacio, Jarron Collins","Williams, Miles, Whaley, Palacio, Collins",101114-101139-101156-1960-2260,UTA,103.0,1,7.0,4.0,8.0,1.0,3.0,2.0,,,1.0,,,111.84466019417476,8.75,8.75,0.3333333333333333,0.6124999999999999,5.866666666666667,2.0,4.0,4.0,2.0,,2.0,2.0,,,2.0,2.0,,,1.0,,3.0,,3.0,9.0,,,,3.0,3.0,3.0,9.0,6.0,,,3.0,3.0,,1.0,6.0,,1.0,,,1.0,,1.0,2.0,1.0,,,,,,2.0,3.0,1.0,,,,,,,9.0,9.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.125,,1.125,,,,,,,1.0,1.0,,,,,,,,,,17.0,17.0,0.6666666666666666,1.0,1.0,,,,,1.0,1.0,1.0,,,,0.6666666666666666,1.0,0.6666666666666666,,0.6124999999999999,,1.0,,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
101114-101139-101156-2260-2484,1610612762,"Deron Williams, CJ Miles, Robert Whaley, Jarron Collins, Devin Brown","Williams, Miles, Whaley, Collins, Brown",101114-101139-101156-2260-2484,UTA,95.0,1,1.0,3.0,7.0,,,4.0,,,,,,106.10526315789474,8.666666666666666,8.666666666666666,,,,2.0,4.0,3.0,4.0,,,,,,,,,,,,,,5.0,5.0,,,,,,5.0,5.0,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,,,,3.0,6.0,3.0,,,,,,,5.0,5.0,3.0,3.0,,,,,,,,,0.8333333333333334,,0.8333333333333334,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,17.25,17.25,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
101114-101139-101156-2260-2743,1610612762,"Deron Williams, CJ Miles, Robert Whaley, Jarron Collins, Kris Humphries","Williams, Miles, Whaley, Collins, Humphries",101114-101139-101156-2260-2743,UTA,318.0,1,2.0,9.0,18.0,4.0,9.0,6.0,1.0,,1.0,0.1111111111111111,,81.50943396226415,19.22222222222222,19.22222222222222,0.4444444444444444,0.4315888888888889,11.133333333333333,5.0,9.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,2.0,2.0,,4.0,,,8.0,1.0,1.0,2.0,1.0,1.0,,2.0,4.0,4.0,2.0,2.0,2.0,,2.0,4.0,1.0,,4.0,,4.0,1.0,5.0,1.0,,1.0,,,1.0,,4.0,,,1.0,,,1.0,1.0,,6.0,2.0,1.0,,0.5,0.6666666666666666,0.4444444444444444,1.0,1.0,0.4444444444444444,1.0,1.0,0.4444444444444444,1.0,1.0,,0.3333333333333333,1.0,,0.8,0.2,,0.6666666666666666,0.2,,,0.5,,1.0,1.0,,,16.11111111111111,14.555555555555555,0.3333333333333333,0.6666666666666666,1.0,0.2222222222222222,,,,0.5,0.5,1.0,,1.0,1.0,,,0.3333333333333333,0.5372,0.3835,0.25,0.25,,0.1111111111111111,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
101114-101139-101261-2246-2260,1610612762,"Deron Williams, CJ Miles, Andre Owens, Mehmet Okur, Jarron Collins","Williams, Miles, Owens, Okur, Collins",101114-101139-101261-2246-2260,UTA,38.0,1,,1.0,3.0,,2.0,,,,,,,113.6842105263158,24.0,22.0,,0.3305,4.65,1.0,2.0,1.0,2.0,1.0,,,,,,,,2.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,2.0,,,1.0,1.0,2.0,3.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,7.0,6.5,,,,1.0,,,,,,,,,,,,,0.3197,0.3305,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
101114-101139-1723-1905-2260,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Andrei Kirilenko, Jarron Collins","Williams, Miles, Harpring, Kirilenko, Collins",101114-101139-1723-1905-2260,UTA,372.0,1,-2.0,10.0,21.0,,2.0,10.0,,2.0,3.0,,,81.29032258064515,18.3,16.7,,0.529925,3.55,6.0,11.0,,9.0,1.0,1.0,1.0,,,,,,1.0,,3.0,1.0,6.0,,8.0,,,,,,,,2.0,,,1.0,3.0,,,8.0,,2.0,1.0,,3.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,,1.0,,,1.0,1.0,1.0,8.0,,,,1.0,1.0,0.5,,,0.5,,,0.5,,,0.75,,0.6666666666666666,,1.0,,1.0,1.0,0.2,,,,1.0,,,1.0,1.0,17.181818181818183,17.181818181818183,0.125,1.0,1.0,0.125,,,,,,,0.375,,,,,0.875,,,,,24.05,,3.0,,,,0.375,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
101114-101139-1723-1960-2246,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Milt Palacio, Mehmet Okur","Williams, Miles, Harpring, Palacio, Okur",101114-101139-1723-1960-2246,UTA,9.0,1,-2.0,1.0,2.0,,,2.0,,,,,,320.0,3.0,3.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
101114-101139-1723-2246-2260,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Mehmet Okur, Jarron Collins","Williams, Miles, Harpring, Okur, Collins",101114-101139-1723-2246-2260,UTA,56.0,1,,2.0,4.0,,1.0,3.0,,1.0,1.0,,,102.85714285714286,19.0,19.0,,0.4676,,1.0,2.0,2.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,3.0,,,,1.0,1.0,1.0,3.0,,2.0,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,3.0,3.0,2.0,,,,1.0,,1.0,1.0,,1.0,1.5,,1.5,,,,,,,1.0,1.0,,,,,,,,1.0,,9.0,9.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,0.4676,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2006,2005-06,True
