EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,DefThreePtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,FG2M,FtPoints,Points,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimAccuracy,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,OffTwoPtRebounds,OffRebounds,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGM,Corner3FGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Fouls,BlockedAtRim,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,FTOffRebounds,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Loose Ball Fouls,OffFTReboundPct,SecondChanceAtRimFGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,ShortMidRangeAssists,SelfOReb,PenaltyFg3Pct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,Offensive Fouls Drawn,DefensiveGoaltends,3SecondViolations,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,Offensive Fouls,Technical Free Throw Trips,Travels,SecondChanceFtPoints,HeaveAttempts,FTDefRebounds,LostBallOutOfBoundsTurnovers,DefFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceFg3Pct,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
101162-1727-1740-200755-2039,1610612753,"Marcin Gortat, Pat Garrity, Rashard Lewis, JJ Redick, Keyon Dooling","Gortat, Garrity, Lewis, Redick, Dooling",101162-1727-1740-200755-2039,ORL,76.0,1,1.0,-2.0,3.0,2,3.0,2.0,5,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,94.73684210526316,12.333333333333334,19.5,12.333333333333334,19.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.5118166666666667,0.5118166666666667,26.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1727-200755-2039-2230,1610612753,"Marcin Gortat, Pat Garrity, JJ Redick, Keyon Dooling, Maurice Evans","Gortat, Garrity, Redick, Dooling, Evans",101162-1727-200755-2039-2230,ORL,163.0,1,3.0,5.0,6.0,7,6.0,7.0,13,1.0,1.0,1.0,1.0,3.0,1.0,,3.0,1.0,1.0,,1.0,5.0,5.0,6.0,0.25,,,1.0,1.0,1.0,114.84662576687116,8.666666666666666,15.857142857142858,8.666666666666666,15.857142857142858,0.25,0.25,0.25,0.25,0.5,0.463175,0.463175,26.1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1727-200788-2039-2230,1610612753,"Marcin Gortat, Pat Garrity, James Augustine, Keyon Dooling, Maurice Evans","Gortat, Garrity, Augustine, Dooling, Evans",101162-1727-200788-2039-2230,ORL,94.0,1,2.0,4.0,4.0,3,2.0,3.0,7,1.0,,,,5.0,,3.0,1.0,,,1.0,,2.0,4.0,2.0,,0.2,1.0,,1.0,,107.23404255319149,15.75,10.333333333333334,11.75,10.333333333333334,0.2,,,,0.2,0.40184,0.3313,,0.5,,,1.0,2.0,3.0,1.0,7.0,1.0,,2.0,,6.0,,,,,2.0,,,,,1.0,,1.0,,5.0,2.0,,,,0.6,1.0,0.6,1.0,0.7,1.0,,1.0,1.0,,,,0.4,0.5,0.5,,0.2857142857142857,11.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.5,0.47345,0.2,0.2,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1740-2039-2045-2306,1610612753,"Marcin Gortat, Rashard Lewis, Keyon Dooling, Hedo Turkoglu, Carlos Arroyo","Gortat, Lewis, Dooling, Turkoglu, Arroyo",101162-1740-2039-2045-2306,ORL,135.0,1,2.0,-5.0,3.0,3,,,6,,,1.0,,3.0,1.0,7.0,,,1.0,,,,1.0,,0.25,,,,,,64.0,30.0,15.0,24.0,15.0,,0.25,,,0.25,0.40185,,27.1,,,,,,1.0,,2.0,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,0.3333333333333333,,0.25,,0.25,,,,,,,,,,,,,10.233333333333333,1.0,,1.0,3.0,,1.0,,,1.0,,,,,,,,,,,,0.3333333333333333,,,,,0.75,0.3333333333333333,0.3333333333333333,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1740-2039-2045-2586,1610612753,"Marcin Gortat, Rashard Lewis, Keyon Dooling, Hedo Turkoglu, Keith Bogans","Gortat, Lewis, Dooling, Turkoglu, Bogans",101162-1740-2039-2045-2586,ORL,973.0,5,16.0,10.0,25.0,27,2.0,4.0,52,9.0,,5.0,,17.0,6.0,25.0,2.0,,5.0,1.0,5.0,13.0,15.0,2.0,0.2608695652173913,0.058823529411764705,0.1111111111111111,0.7142857142857143,0.7222222222222222,1.0,76.9578622816033,18.44,18.962962962962962,17.76,17.22222222222222,0.391304347826087,0.21739130434782608,,,0.6521739130434783,0.4744478260869565,0.31025,25.349999999999998,0.08,7.0,,3.0,4.0,11.0,7.0,35.0,2.0,,4.0,10.0,12.0,5.0,7.0,3.0,16.0,8.0,,,1.0,,11.0,1.0,7.0,,35.0,4.0,,0.45454545454545453,0.45454545454545453,0.6470588235294118,1.0,0.6086956521739131,1.0,0.6730769230769231,1.0,,0.7272727272727273,0.5714285714285714,0.7777777777777778,0.875,0.42857142857142855,0.17391304347826086,0.75,0.75,,0.11428571428571428,6.523529411764706,1.0,,1.0,4.0,,1.0,,1.0,2.0,1.0,4.0,2.0,,1.0,2.0,2.0,,,,0.16666666666666666,0.2,,1.0,1.0,1.0,0.17391304347826086,0.25,0.25,,0.483,0.15384615384615385,0.2,,1.0,0.25,0.25,1.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6666666666666666,0.043478260869565216,1.0,1.0,1.0,0.2,0.2,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1740-2039-2230-2586,1610612753,"Marcin Gortat, Rashard Lewis, Keyon Dooling, Maurice Evans, Keith Bogans","Gortat, Lewis, Dooling, Evans, Bogans",101162-1740-2039-2230-2586,ORL,54.0,1,1.0,2.0,2.0,2,2.0,,4,,,,,1.0,,,1.0,,,,,2.0,2.0,2.0,,,,,1.0,,106.66666666666666,10.0,17.0,10.0,17.0,,,,,,0.2714,0.2714,,1.0,,,,,,2.0,2.0,,2.0,2.0,,,,,,,2.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,0.5,0.5,,1.0,,,,,,,,,1.0,9.8,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1740-2039-2306-2586,1610612753,"Marcin Gortat, Rashard Lewis, Keyon Dooling, Carlos Arroyo, Keith Bogans","Gortat, Lewis, Dooling, Arroyo, Bogans",101162-1740-2039-2306-2586,ORL,116.0,1,2.0,,3.0,3,,,6,1.0,,1.0,,2.0,1.0,2.0,,,1.0,,1.0,2.0,2.0,,0.3333333333333333,,,1.0,1.0,,74.48275862068965,19.666666666666668,19.0,19.666666666666668,19.0,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,0.5062833333333333,,25.3,,1.0,,,1.0,1.0,,2.0,,,,,2.0,,,,,1.0,,,,,,,,,2.0,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,,1.0,1.0,1.0,1.0,,0.3333333333333333,,,,,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1740-2039-2586-2749,1610612753,"Marcin Gortat, Rashard Lewis, Keyon Dooling, Keith Bogans, Jameer Nelson","Gortat, Lewis, Dooling, Bogans, Nelson",101162-1740-2039-2586-2749,ORL,212.0,3,4.0,-7.0,5.0,7,1.0,2.0,12,2.0,,2.0,,2.0,2.0,11.0,,,2.0,,,1.0,2.0,1.0,0.5,,,,1.0,,81.50943396226415,17.2,18.0,13.0,17.857142857142858,0.5,0.5,,,1.0,0.574575,,25.45,0.2,2.0,,,,2.0,,4.0,,,,,4.0,,,,,1.0,1.0,,1.0,1.0,,,,,4.0,,,,,1.0,,0.5,,0.5,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1740-2045-2306-2586,1610612753,"Marcin Gortat, Rashard Lewis, Hedo Turkoglu, Carlos Arroyo, Keith Bogans","Gortat, Lewis, Turkoglu, Arroyo, Bogans",101162-1740-2045-2306-2586,ORL,142.0,1,2.0,1.0,4.0,4,,,8,1.0,,1.0,,2.0,1.0,4.0,,,1.0,,,1.0,1.0,,0.3333333333333333,,,,1.0,,81.12676056338029,17.75,17.75,17.75,17.75,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,0.5092333333333333,,26.2,,1.0,,,,1.0,,5.0,,,,2.0,,1.0,2.0,1.0,5.0,1.0,,,1.0,,2.0,,,,5.0,,,1.0,1.0,0.5,,0.8333333333333334,,0.8333333333333334,,,1.0,1.0,1.0,1.0,1.0,,,,,,5.65,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1740-2045-2586-2749,1610612753,"Marcin Gortat, Rashard Lewis, Hedo Turkoglu, Keith Bogans, Jameer Nelson","Gortat, Lewis, Turkoglu, Bogans, Nelson",101162-1740-2045-2586-2749,ORL,271.0,3,5.0,4.0,8.0,7,4.0,2.0,15,2.0,1.0,2.0,1.0,5.0,3.0,10.0,2.0,1.0,2.0,,1.0,2.0,3.0,4.0,0.375,,,1.0,1.0,1.0,79.70479704797049,14.5,22.142857142857142,14.25,22.142857142857142,0.25,0.25,0.3333333333333333,0.3333333333333333,0.625,0.52481875,0.5327000000000001,24.233333333333334,0.5,2.0,1.0,,,4.0,,14.0,2.0,,7.0,4.0,4.0,2.0,3.0,,7.0,1.0,,,,,,,,,12.0,7.0,,0.5,0.6666666666666666,0.8,1.0,0.875,1.1666666666666667,0.875,1.1666666666666667,,1.0,,1.0,1.0,,,,,1.0,0.5,3.7399999999999998,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,0.375,0.6666666666666666,0.6666666666666666,1.0,0.5748,,,0.14285714285714285,,,,,1.0,2.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,2.0,,,0.5,0.6666666666666666,0.6666666666666666,1.0,,,0.125,,,,1.0,1.0,0.5,1.0,,,,1.0,,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
