EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DeadBallTurnovers,Travels,Turnovers,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,LongMidRangeFGA,FtPoints,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,Charge Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,DefAtRimReboundPct,DefArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShortMidRangeFGA,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,ShortMidRangeFrequency,ShortMidRangeFGM,ShortMidRangeAssists,FTDefRebounds,DefFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg3aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3FGM,SecondChanceFG3M,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,SecondChanceFg3Pct,LongMidRangePctBlocked,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffCorner3ReboundPct,StepOutOfBoundsTurnovers,BlockedShortMidRange,3SecondViolations,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,FTOffRebounds,BlockedLongMidRange,DefensiveGoaltends,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,OffensiveGoaltends,Corner3PctBlocked,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1626162-1626163-1626164-1627767-1629059,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Cheick Diallo, Elie Okobo","Oubre Jr., Kaminsky, Booker, Diallo, Okobo",1626162-1626163-1626164-1627767-1629059,PHX,112.0,1,2.0,-7.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,90.0,20.333333333333332,12.75,20.333333333333332,12.75,0.5,1.0,1.0,1.0,0.5,1.0,0.46895,3.0,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
1626162-1626163-1626164-1628969-1628975,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Jevon Carter","Oubre Jr., Kaminsky, Booker, Bridges, Carter",1626162-1626163-1626164-1628969-1628975,PHX,147.0,3,2.0,-1.0,7.0,7.0,14.0,1.0,3.0,,1.0,4.0,,6.0,7.0,,,,,,,1.0,,1.0,2.0,6.0,,,0.25,0.25,0.5,,137.14285714285714,8.285714285714286,12.714285714285714,8.285714285714286,10.714285714285714,0.75,0.3333333333333333,0.5,,,0.75,0.5096,6.75,,2.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,0.25,0.3333333333333333,1.0,0.5,0.75,1.0,1.0,1.0,0.25,0.2,0.2,0.6666666666666666,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
1626162-1626163-1626164-1628969-1629059,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Elie Okobo","Oubre Jr., Kaminsky, Booker, Bridges, Okobo",1626162-1626163-1626164-1628969-1629059,PHX,352.0,1,6.0,10.0,13.0,12.0,25.0,2.0,2.0,4.0,2.0,2.0,5.0,22.0,12.0,,4.0,,3.0,,9.0,1.0,,3.0,4.0,22.0,,,1.0,1.1428571428571428,1.1,0.7142857142857143,102.27272727272728,13.0,15.25,13.0,14.916666666666666,0.2857142857142857,1.0,1.0,,0.5714285714285714,1.0,0.5361071428571428,3.0,25.119999999999997,13.0,,6.0,6.0,22.0,4.0,,3.0,1.0,4.0,4.0,1.0,1.0,,3.0,,7.0,3.0,1.0,22.0,13.0,1.0,1.1,,,0.5,1.0,0.8,,,1.0,,0.3333333333333333,0.75,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,9.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.75,0.8,0.8,0.8,1.0,1.1428571428571428,0.6666666666666666,0.5,1.0,0.14285714285714285,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.2857142857142857,1.0,0.14285714285714285,1.0,0.5714285714285714,0.75,0.75,0.5361071428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
1626162-1626163-1626164-1628969-1629660,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Ty Jerome","Oubre Jr., Kaminsky, Booker, Bridges, Jerome",1626162-1626163-1626164-1628969-1629660,PHX,295.0,3,5.0,-5.0,11.0,10.0,21.0,1.0,1.0,4.0,1.0,3.0,4.0,10.0,15.0,2.0,4.0,1.0,3.0,1.0,8.0,1.0,,3.0,3.0,10.0,1.0,1.0,0.3333333333333333,0.5714285714285714,0.5625,0.5714285714285714,102.50847457627118,15.272727272727273,12.7,15.272727272727273,12.0,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,0.7142857142857143,0.5096214285714286,8.933333333333334,25.1,5.0,1.0,2.0,,3.0,,,1.0,,1.0,1.0,1.0,,1.0,3.0,,3.0,1.0,,3.0,5.0,,0.5,,,,0.5,0.3333333333333333,,,,0.14285714285714285,0.125,0.25,0.3,0.45454545454545453,9.0,,,,,,,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,6.0,,2.0,2.0,2.0,,2.0,,2.0,,,,1.0,0.5,0.5,0.5,,0.5,0.6666666666666666,,0.5,,,,,0.5,0.5,1.0,,,,,0.6666666666666666,0.5,0.5,0.5087833333333334,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
1626162-1626163-1626164-1628969-1629661,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Cameron Johnson","Oubre Jr., Kaminsky, Booker, Bridges, Johnson",1626162-1626163-1626164-1628969-1629661,PHX,15.0,1,,-4.0,,1.0,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,96.0,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
1626162-1626163-1626164-1628969-201937,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Ricky Rubio","Oubre Jr., Kaminsky, Booker, Bridges, Rubio",1626162-1626163-1626164-1628969-201937,PHX,199.0,5,3.0,-5.0,10.0,11.0,21.0,1.0,1.0,3.0,3.0,3.0,3.0,12.0,17.0,2.0,3.0,1.0,2.0,,5.0,1.0,,2.0,2.0,12.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.8571428571428571,0.5,151.95979899497488,9.4,9.545454545454545,9.4,9.545454545454545,0.16666666666666666,1.0,1.0,,0.5,0.6666666666666666,0.5139916666666667,7.8,25.233333333333334,7.0,,3.0,2.0,9.0,4.0,,,,1.0,1.0,2.0,2.0,3.0,6.0,,3.0,2.0,,9.0,7.0,,0.75,,,,,,,,,,0.2857142857142857,0.5,0.75,0.7,11.0,1.0,1.0,,,,,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.7,0.5,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,,,0.6,0.3333333333333333,0.3333333333333333,0.53005,2.0,,,,,,,2.0,0.3333333333333333,2.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
1626162-1626163-1626164-1628969-204020,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Mikal Bridges, Tyler Johnson","Oubre Jr., Kaminsky, Booker, Bridges, Johnson",1626162-1626163-1626164-1628969-204020,PHX,1007.0,4,17.0,-9.0,35.0,34.0,69.0,9.0,14.0,8.0,12.0,25.0,9.0,43.0,52.0,12.0,8.0,6.0,9.0,4.0,21.0,1.0,,2.0,9.0,37.0,0.5,0.5454545454545454,0.48,0.5294117647058824,0.5657894736842105,0.2647058823529412,98.66931479642501,15.142857142857142,14.029411764705882,14.771428571428572,13.411764705882353,0.4117647058823529,0.6428571428571429,0.75,0.4444444444444444,0.23529411764705882,0.6764705882352942,0.5577088235294118,5.803999999999999,25.422222222222224,12.0,4.0,7.0,2.0,15.0,12.0,2.0,6.0,2.0,8.0,13.0,2.0,,1.0,5.0,,8.0,4.0,,15.0,12.0,,0.5357142857142857,0.08,0.14285714285714285,0.5,0.75,0.6666666666666666,1.0,,,0.11764705882352941,0.10526315789473684,0.13793103448275862,0.3488372093023256,0.34285714285714286,14.0,3.0,6.0,1.0,1.0,,,3.0,1.0,2.0,4.0,5.0,11.0,1.0,2.0,9.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,,,1.0,,0.75,0.4444444444444444,0.5,0.4444444444444444,0.45454545454545453,0.5,0.5,0.3333333333333333,0.75,0.029411764705882353,1.0,1.0,1.0,0.375,0.42857142857142855,0.6666666666666666,0.46153846153846156,0.5,,,0.15384615384615385,0.5,0.375,0.5320461538461538,7.0,2.0,1.0,,1.0,1.0,,2.0,0.20588235294117646,2.0,2.0,,,0.2857142857142857,0.2857142857142857,1.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,6.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6,0.1111111111111111,0.125,0.3333333333333333,0.2,0.29411764705882354,0.2,0.25,0.6666666666666666,0.2,0.07142857142857142,0.25,0.25,0.5,0.5,0.25,0.5229666666666667,0.13953488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
1626162-1626163-1626164-1628975-1629661,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Jevon Carter, Cameron Johnson","Oubre Jr., Kaminsky, Booker, Carter, Johnson",1626162-1626163-1626164-1628975-1629661,PHX,217.0,2,4.0,3.0,10.0,9.0,19.0,2.0,5.0,2.0,2.0,5.0,2.0,7.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,,,1.0,3.0,7.0,0.5,0.5,0.4,0.2857142857142857,0.3888888888888889,0.2857142857142857,126.08294930875576,12.7,10.0,12.7,9.444444444444445,0.7142857142857143,0.4,0.4,0.5,0.2857142857142857,1.0,0.6193,1.78,26.05,8.0,,3.0,2.0,6.0,2.0,,3.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,,4.0,1.0,1.0,6.0,8.0,1.0,0.42857142857142855,,,1.0,0.75,0.8,,,0.5,,0.125,0.16666666666666666,0.8571428571428571,0.8,8.0,2.0,5.0,,,,,,,1.0,,2.0,5.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,0.4,0.3333333333333333,1.0,1.0,1.0,,,,,,,,0.8333333333333334,0.4,,,0.16666666666666666,,,0.6338416666666666,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
1626162-1626163-1626164-1628975-201937,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Jevon Carter, Ricky Rubio","Oubre Jr., Kaminsky, Booker, Carter, Rubio",1626162-1626163-1626164-1628975-201937,PHX,144.0,1,2.0,,4.0,5.0,9.0,,1.0,3.0,,1.0,3.0,3.0,3.0,,3.0,,1.0,,3.0,,,,1.0,3.0,,,,0.375,0.375,0.75,90.0,18.25,14.2,18.25,14.2,0.25,,,,0.75,1.0,0.5043375,2.2,25.166666666666668,2.0,,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,0.5,5.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,3.0,,1.0,1.0,1.0,,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,0.5,,0.3333333333333333,0.569025,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
1626162-1626163-1626164-1628975-203382,1610612756,"Kelly Oubre Jr., Frank Kaminsky, Devin Booker, Jevon Carter, Aron Baynes","Oubre Jr., Kaminsky, Booker, Carter, Baynes",1626162-1626163-1626164-1628975-203382,PHX,85.0,2,1.0,1.0,2.0,3.0,5.0,,,,,1.0,1.0,3.0,2.0,,,,1.0,,3.0,,,,2.0,3.0,,,,0.75,0.75,0.5,84.70588235294117,24.5,12.0,24.5,12.0,,,,,,0.5,0.473175,14.1,23.2,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,0.5,,0.5,1.0,,,0.5,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,3.0,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2020,2019-20,False
