EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,ShortMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,DefTwoPtRebounds,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFG2M,PtsUnassisted2s,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,DefFTReboundPct,PenaltyAtRimFGM,SecondChanceCorner3FGA,SecondChanceFG3A,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,DefCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,BadPassSteals,PenaltyFg3Pct,PenaltyArc3Accuracy,BlockedAtRim,SecondChanceArc3FGA,Offensive Fouls Drawn,OffArc3ReboundPct,SecondChanceArc3Frequency,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,SelfOReb,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChancePointsPct,PenaltyCorner3FGM,Travels,Blocked3s,BlockedCorner3,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,Loose Ball Fouls,BlockedArc3,SecondChanceAtRimAccuracy,SecondChanceFtPoints,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimPctAssisted,BlockedLongMidRange,LongMidRangeAssists,StepOutOfBoundsTurnovers,Transition Take Fouls,LongMidRangePctAssisted,team_id,year,season,team_vs
1627739-1627826-201935-202695-203992,1610612746,"Kris Dunn, Ivica Zubac, James Harden, Kawhi Leonard, Bogdan Bogdanović","Dunn, Zubac, Harden, Leonard, Bogdanović",1627739-1627826-201935-202695-203992,LAC,64.0,1,1.0,1.0,2.0,2.0,4,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,90.0,23.0,9.0,23.0,9.0,0.5,1.0,1.0,1.0,0.5,0.5,0.56785,0.3333333333333333,0.3333333333333333,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1627739-1627826-201587-202695-203992,1610612746,"Kris Dunn, Ivica Zubac, Nicolas Batum, Kawhi Leonard, Bogdan Bogdanović","Dunn, Zubac, Batum, Leonard, Bogdanović",1627739-1627826-201587-202695-203992,LAC,253.0,1,4.0,2.0,8.0,9.0,17,,,2.0,1.0,2.0,,14.0,12.0,2.0,,1.0,5.0,,14.0,,3.0,3.0,,,,14.0,1.0,1.0,0.5,1.0,1.0,,,,0.75,,96.7588932806324,11.875,17.555555555555557,11.875,16.555555555555557,,,,,0.2857142857142857,0.7142857142857143,0.53315,,,5.9,1.0,2.0,2.0,2.0,3.0,4.0,5.0,12.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.2857142857142857,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,24.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627884-201587-201935-203992,1610612746,"Norman Powell, Derrick Jones Jr., Nicolas Batum, James Harden, Bogdan Bogdanović","Powell, Jones Jr., Batum, Harden, Bogdanović",1626181-1627884-201587-201935-203992,LAC,66.0,1,1.0,2.0,3.0,2.0,5,,2.0,,,2.0,2.0,2.0,,,1.0,,,,,,2.0,4.0,1.0,2.0,,2.0,,,,,0.2,0.5,,,1.0,,109.09090909090908,10.666666666666666,17.0,9.333333333333334,17.0,0.5,,,,,1.0,0.573175,,,2.1,,,1.0,,1.0,,2.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,0.5,1.0,1.0,,1.0,,,,,0.25,,,,0.25,,,,,24.05,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.25,0.25,0.525,0.573175,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627826-201587-201935-202695,1610612746,"Norman Powell, Ivica Zubac, Nicolas Batum, James Harden, Kawhi Leonard","Powell, Zubac, Batum, Harden, Leonard",1626181-1627826-201587-201935-202695,LAC,382.0,3,6.0,4.0,13.0,13.0,26,3.0,4.0,7.0,8.0,11.0,2.0,21.0,17.0,14.0,,7.0,8.0,3.0,17.0,3.0,5.0,6.0,3.0,4.0,3.0,21.0,0.875,0.875,0.7272727272727273,0.6785714285714286,0.7,,,1.0,0.8,1.0,98.01047120418849,14.692307692307692,14.692307692307692,14.076923076923077,13.846153846153847,0.2857142857142857,0.75,0.75,1.0,0.5,0.5,0.510525,0.2,0.25,4.690909090909091,5.0,,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,,4.0,1.0,,,,1.0,2.0,2.0,,1.0,1.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.21428571428571427,0.5,,,1.0,,0.7142857142857143,0.7142857142857143,0.8,0.07142857142857142,,,,0.14285714285714285,0.5,0.5,1.0,0.5,25.666666666666668,1.0,5.0,1.0,,,,,,1.0,,,2.0,1.0,,1.0,,2.0,1.0,,1.0,,,0.5,0.2,,1.0,,,,,,0.3278,0.09523809523809523,0.07692307692307693,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627739-1627826-201935-203992,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, James Harden, Bogdan Bogdanović","Powell, Dunn, Zubac, Harden, Bogdanović",1626181-1627739-1627826-201935-203992,LAC,42.0,1,1.0,-3.0,1.0,1.0,2,,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,68.57142857142857,25.0,17.0,25.0,17.0,1.0,,,,,1.0,0.6948,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,0.6948,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627884-201935-203992,1610612746,"Norman Powell, Ben Simmons, Derrick Jones Jr., James Harden, Bogdan Bogdanović","Powell, Simmons, Jones Jr., Harden, Bogdanović",1626181-1627732-1627884-201935-203992,LAC,155.0,1,3.0,-3.0,8.0,7.0,15,1.0,1.0,2.0,1.0,3.0,2.0,4.0,7.0,,1.0,,,,,2.0,4.0,4.0,2.0,2.0,,4.0,,,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,139.3548387096774,8.875,12.0,7.5,12.0,0.2,1.0,1.0,,0.4,0.6,0.53791,,,5.3999999999999995,,,1.0,,1.0,,2.0,,1.0,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,0.4,1.0,,1.0,,,,,,0.2,,,,0.2,,,,,24.4,8.0,7.0,1.0,,1.0,1.0,1.0,,3.0,2.0,2.0,4.0,,,,1.0,4.0,8.0,1.0,0.3333333333333333,,,,,,,,0.2,0.2,0.2,0.5451,0.53791,1.0,1.0,1.0,2.0,,1.0,,,,0.3333333333333333,0.2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627884-201587-203992,1610612746,"Norman Powell, Ben Simmons, Derrick Jones Jr., Nicolas Batum, Bogdan Bogdanović","Powell, Simmons, Jones Jr., Batum, Bogdanović",1626181-1627732-1627884-201587-203992,LAC,52.0,1,1.0,-2.0,2.0,2.0,4,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,110.76923076923076,17.5,8.5,17.5,3.5,,,,,,1.0,0.4341,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,26.2,2.0,2.0,,,,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,1.0,,0.4341,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1629234-1641738-1641757-1642353-203992,1610612746,"Drew Eubanks, Kobe Brown, Jordan Miller, Cam Christie, Bogdan Bogdanović","Eubanks, Brown, Miller, Christie, Bogdanović",1629234-1641738-1641757-1642353-203992,LAC,155.0,1,3.0,1.0,6.0,5.0,11,1.0,2.0,1.0,1.0,3.0,,8.0,7.0,,2.0,,1.0,,3.0,,1.0,1.0,,,,8.0,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,,,,102.19354838709677,10.833333333333334,18.0,10.833333333333334,18.0,0.3333333333333333,0.5,1.0,,0.16666666666666666,0.8333333333333334,0.5069583333333333,,,3.266666666666667,,,,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,25.433333333333334,6.0,5.0,,,2.0,,3.0,,3.0,3.0,,8.0,,,,,8.0,6.0,,0.6666666666666666,0.5,,,,,,,0.3333333333333333,,0.5,,0.5069583333333333,1.0,1.0,1.0,2.0,1.0,,,,,0.3333333333333333,0.6666666666666666,,1.0,1.0,,,,,,,,0.5,2.0,2.0,3.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-201587-201935-202695,1610612746,"Norman Powell, Ben Simmons, Nicolas Batum, James Harden, Kawhi Leonard","Powell, Simmons, Batum, Harden, Leonard",1626181-1627732-201587-201935-202695,LAC,133.0,2,2.0,-9.0,6.0,5.0,11,,,1.0,,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,119.09774436090225,11.666666666666666,12.6,11.666666666666666,12.6,,,,,0.3333333333333333,0.6666666666666666,0.5409666666666667,,,12.0,,,2.0,,,,2.0,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,1.0,,,,,0.6666666666666666,,,,,,,,,0.6666666666666666,,,,,,,,,24.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627884-201587-202695,1610612746,"Norman Powell, Ben Simmons, Derrick Jones Jr., Nicolas Batum, Kawhi Leonard","Powell, Simmons, Jones Jr., Batum, Leonard",1626181-1627732-1627884-201587-202695,LAC,52.0,1,1.0,-2.0,2.0,3.0,5,,,,,,,,2.0,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,0.5,,138.46153846153845,16.5,6.333333333333333,12.0,3.3333333333333335,,,,,,1.0,0.53535,,,,,,,,2.0,,2.0,,2.0,,,,,,1.0,,,,2.0,,,,1.0,1.0,1.0,,,,,1.0,0.5,,,1.0,,,,,,,,,1.0,,,,,26.6,,,1.0,,,,,,,,,,2.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
