index,year,ortg,drtg,AtRimFGM,AtRimFGA,AtRimAssists,Turnovers,FTA,OffPoss,DefPoss,TwoPtAssists,Steals,BadPassSteals,ThreePtAssists,FG3A,OpponentPoints,Points,SecondChancePoints,FG2A,LiveBallTurnovers,TsPct,Fg3Pct,AtRimFG3AFrequency,Pace,AtRimFrequency,SecondsPerPossOff,SecondsPerPossDef,Minutes,DefAtRimReboundPct,DefFGReboundPct,AtRimAccuracy,player_on,OffFGReboundPct,nba_id
0,2019,104.32166301969366,109.83161325366648,331.0,561.0,156.0,264.0,392.0,1828.0,1841.0,231.0,150.0,99.0,146.0,463.0,2022.0,1907.0,188.0,1140.0,127.0,0.5372460496613995,0.3714902807775378,0.6388022457891454,98.436085182494,0.3499688084840923,14.809628008752735,14.4492123845736,895.0,0.6617647058823529,0.7426900584795322,0.5900178253119429,True,0.2302325581395349,1628990
1,2019,105.89723320158105,115.18847006651885,1168.0,1932.0,590.0,895.0,1303.0,6325.0,6314.0,941.0,453.0,301.0,478.0,1660.0,7273.0,6698.0,712.0,3942.0,473.0,0.5419307654802535,0.3451807228915662,0.641199571581578,98.2799008569716,0.3448768297036773,14.733596837944663,14.57031992397846,3086.0,0.6174298375184638,0.736823975198071,0.6045548654244306,False,0.2347245409015025,1628990
2,2020,99.55436720142602,112.5,223.0,373.0,116.0,194.0,244.0,1122.0,1120.0,148.0,101.0,59.0,90.0,364.0,1260.0,1117.0,130.0,592.0,99.0,0.5235183443085607,0.2939560439560439,0.7709205020920502,102.1476934759223,0.3901673640167364,14.240641711229946,13.95357142857143,527.0,0.5981308411214953,0.7455357142857143,0.5978552278820375,True,0.2461538461538461,1628990
3,2020,108.4077380952381,109.6311475409836,1069.0,1769.0,561.0,811.0,1088.0,5376.0,5368.0,718.0,551.0,357.0,554.0,1918.0,5885.0,5828.0,736.0,2888.0,431.0,0.5499620781190747,0.3576642335766423,0.7671660424469413,98.8623206001508,0.3680815647107782,14.277715773809524,14.85413561847988,2608.0,0.5887372013651877,0.7197035745422842,0.604296212549463,False,0.262326656394453,1628990
4,2021,112.23021582733811,102.11267605633805,20.0,32.0,10.0,24.0,43.0,139.0,142.0,18.0,12.0,9.0,12.0,38.0,145.0,156.0,19.0,75.0,13.0,0.5909090909090909,0.3421052631578947,0.6194690265486725,106.09334032511798,0.2831858407079646,13.237410071942444,13.901408450704226,64.0,0.6363636363636364,0.7391304347826086,0.625,True,0.2452830188679245,1628990
5,2021,111.66214091753608,112.782384901344,1270.0,1963.0,710.0,1065.0,1215.0,6997.0,6994.0,1151.0,470.0,322.0,746.0,2408.0,7888.0,7813.0,936.0,3859.0,601.0,0.5751846381093058,0.3700166112956811,0.6974629009095261,98.40016410577007,0.3132280197861816,14.782764041732172,14.48541607091793,3412.0,0.6370056497175142,0.7712683078840761,0.6469689251146205,False,0.2563064465898474,1628990
6,2021,110.33333333333331,119.8360655737705,97.0,144.0,48.0,86.0,111.0,600.0,610.0,97.0,38.0,27.0,41.0,143.0,731.0,662.0,95.0,410.0,46.0,0.551926298157454,0.3496503496503496,0.5189873417721519,102.91181855767528,0.2603978300180832,14.116666666666667,13.87049180327869,282.0,0.59375,0.725925925925926,0.6736111111111112,True,0.2887323943661972,1628990
7,2021,112.0185346075876,113.0781499202552,1070.0,1604.0,605.0,950.0,1773.0,6906.0,6897.0,1093.0,490.0,315.0,604.0,1945.0,7799.0,7736.0,839.0,4048.0,541.0,0.571311840736889,0.3511568123393316,0.5921908893709328,103.56079591932432,0.2676455865176039,13.489574283231972,14.32071915325504,3199.0,0.6399132321041214,0.7409523809523809,0.6670822942643392,False,0.2404654169360051,1628990
8,2022,109.6153846153846,82.3529411764706,9.0,13.0,3.0,10.0,14.0,52.0,51.0,6.0,4.0,1.0,5.0,16.0,42.0,57.0,7.0,28.0,4.0,0.5490196078431373,0.375,0.6590909090909091,110.52160953800298,0.2954545454545454,13.442307692307692,12.607843137254902,22.0,0.8,0.8076923076923077,0.6923076923076923,True,0.4166666666666667,1628990
9,2022,115.65743944636678,108.1358024691358,1141.0,1667.0,722.0,1049.0,1621.0,8092.0,8100.0,1447.0,698.0,459.0,786.0,2600.0,8759.0,9359.0,994.0,4745.0,610.0,0.5817115768463074,0.3634615384615384,0.5809394145677331,99.04289391635304,0.2269571136827774,14.278175976272864,14.799876543209876,3924.0,0.603648424543947,0.7339121552604698,0.6844631073785243,False,0.2558577969297064,1628990
