index,year,ortg,drtg,AtRimFGM,AtRimFGA,AtRimAssists,Turnovers,FTA,OffPoss,DefPoss,TwoPtAssists,Steals,BadPassSteals,ThreePtAssists,FG3A,OpponentPoints,Points,SecondChancePoints,FG2A,LiveBallTurnovers,TsPct,Fg3Pct,AtRimFG3AFrequency,Pace,AtRimFrequency,SecondsPerPossOff,SecondsPerPossDef,Minutes,DefAtRimReboundPct,DefFGReboundPct,AtRimAccuracy,player_on,OffFGReboundPct,nba_id
0,1997,106.5,113.6,,,,,,,,,,,,,,,,,,,,,,,,,1869.0,,,,True,0.313,177
1,1997,107.3,107.8,,,,,,,,,,,,,,,,,,,,,,,,,2068.0,,,,False,0.325,177
2,1998,109.4,90.3,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,True,0.2,177
3,1998,101.6,93.1,,,,,,,,,,,,,,,,,,,,,,,,,1541.0,,,,True,0.301,177
4,1998,104.7,107.1,,,,,,,,,,,,,,,,,,,,,,,,,3914.0,,,,False,0.292,177
5,1998,104.7,94.2,,,,,,,,,,,,,,,,,,,,,,,,,2394.0,,,,False,0.322,177
6,1999,96.8,95.1,,,,,,,,,,,,,,,,,,,,,,,,,710.0,,,,True,0.294,177
7,1999,100.6,97.6,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,,,False,0.298,177
8,2000,102.6,104.1,,,,,,,,,,,,,,,,,,,,,,,,,1717.0,,,,True,0.29,177
9,2000,104.2,103.7,,,,,,,,,,,,,,,,,,,,,,,,,2207.0,,,,False,0.275,177
10,2001,107.8125,81.25,9.0,15.0,4.0,11.0,19.0,64.0,64.0,11.0,10.0,5.0,2.0,5.0,52.0,69.0,9.0,48.0,4.0,0.5483870967741935,0.4,0.3773584905660377,91.33795837462834,0.2830188679245283,15.1875,16.34375,34.0,0.5,0.65625,0.6,True,0.3076923076923077,177
11,2001,103.13955035253426,105.86904445035933,1185.0,2016.0,608.0,1145.0,1871.0,7517.0,7514.0,1357.0,551.0,356.0,326.0,1040.0,7955.0,7753.0,1109.0,5632.0,595.0,0.5151636606546426,0.3625,0.4580335731414868,91.15758795832244,0.302158273381295,15.552747106558469,16.040990151716795,3957.0,0.5667963683527886,0.6622864651773982,0.5877976190476191,False,0.2940360610263522,177
