index,year,ortg,drtg,AtRimFGM,AtRimFGA,AtRimAssists,Turnovers,FTA,OffPoss,DefPoss,TwoPtAssists,Steals,BadPassSteals,ThreePtAssists,FG3A,OpponentPoints,Points,SecondChancePoints,FG2A,LiveBallTurnovers,TsPct,Fg3Pct,AtRimFG3AFrequency,Pace,AtRimFrequency,SecondsPerPossOff,SecondsPerPossDef,Minutes,DefAtRimReboundPct,DefFGReboundPct,AtRimAccuracy,player_on,OffFGReboundPct,nba_id
0,2011,112.5,93.75,4.0,7.0,3.0,3.0,3.0,16.0,16.0,4.0,,,1.0,5.0,15.0,18.0,2.0,12.0,2.0,0.5,0.2,0.7058823529411765,90.3529411764706,0.4117647058823529,15.5625,16.3125,8.0,1.0,1.0,0.5714285714285714,True,0.4444444444444444,202347
1,2011,103.6,113.48088531187123,60.0,107.0,39.0,74.0,152.0,500.0,497.0,94.0,43.0,24.0,22.0,79.0,564.0,518.0,52.0,335.0,33.0,0.5354166666666667,0.3291139240506329,0.4492753623188406,85.61001788908766,0.2584541062801932,16.382,17.261569416498993,280.0,0.4509803921568627,0.6462882096069869,0.5607476635514018,False,0.2442396313364055,202347
2,2012,90.99526066350712,108.05687203791469,30.0,51.0,12.0,44.0,71.0,211.0,211.0,27.0,21.0,10.0,4.0,27.0,228.0,192.0,32.0,137.0,27.0,0.482233502538071,0.1851851851851851,0.4756097560975609,88.95915678524375,0.3109756097560975,16.208530805687204,16.165876777251185,114.0,0.6086956521739131,0.6818181818181818,0.5882352941176471,True,0.3020833333333333,202347
3,2012,108.7378640776699,99.02676399026764,64.0,122.0,31.0,64.0,144.0,412.0,411.0,68.0,29.0,19.0,15.0,56.0,407.0,448.0,76.0,314.0,38.0,0.5115473441108545,0.3392857142857143,0.4810810810810811,86.95575610829847,0.3297297297297297,16.893203883495147,16.226277372262775,227.0,0.8,0.7608695652173914,0.5245901639344263,False,0.3940886699507389,202347
4,2013,104.04191616766468,105.03048780487804,91.0,182.0,45.0,83.0,216.0,668.0,656.0,96.0,54.0,34.0,45.0,143.0,689.0,695.0,104.0,465.0,44.0,0.4900568181818182,0.3496503496503496,0.5345394736842105,89.12074042911232,0.2993421052631579,17.052395209580837,15.246951219512194,357.0,0.6166666666666667,0.7433333333333333,0.5,True,0.3174157303370786,202347
5,2013,107.72659732540862,104.94186046511628,122.0,214.0,60.0,78.0,220.0,673.0,688.0,130.0,55.0,28.0,19.0,79.0,722.0,725.0,115.0,536.0,32.0,0.5049295774647887,0.2784810126582278,0.4764227642276423,86.30994847403885,0.3479674796747967,17.169390787518573,16.209302325581394,378.0,0.6571428571428571,0.7415384615384616,0.5700934579439252,False,0.313782991202346,202347
6,2015,101.22448979591836,114.0,32.0,67.0,18.0,36.0,55.0,245.0,250.0,46.0,22.0,16.0,12.0,52.0,285.0,248.0,25.0,161.0,21.0,0.5210084033613446,0.3269230769230769,0.5586854460093896,95.53679131483716,0.3145539906103286,16.281632653061223,13.888,124.0,0.64,0.6869565217391305,0.4776119402985074,True,0.2434782608695652,202347
7,2015,112.31884057971014,110.29411764705884,25.0,38.0,10.0,18.0,34.0,138.0,136.0,25.0,8.0,4.0,10.0,33.0,150.0,155.0,13.0,91.0,8.0,0.5535714285714286,0.303030303030303,0.5725806451612904,90.51617343427392,0.3064516129032258,15.594202898550725,16.227941176470587,73.0,0.5333333333333333,0.6753246753246753,0.6578947368421053,False,0.2769230769230769,202347
8,2019,100.0,76.19047619047619,2.0,3.0,1.0,1.0,2.0,23.0,21.0,2.0,1.0,1.0,4.0,9.0,16.0,23.0,6.0,13.0,,0.5,0.4444444444444444,0.5454545454545454,87.51381215469614,0.1363636363636363,13.217391304347826,20.0,12.0,1.0,1.0,0.6666666666666666,True,0.3846153846153846,202347
9,2019,112.35955056179776,115.01597444089457,96.0,155.0,49.0,58.0,159.0,623.0,626.0,104.0,31.0,18.0,38.0,130.0,720.0,700.0,72.0,444.0,32.0,0.541860465116279,0.3307692307692307,0.4965156794425087,92.5375591685532,0.2700348432055749,15.531300160513643,15.591054313099042,324.0,0.603448275862069,0.7151898734177216,0.6193548387096774,False,0.2549668874172185,202347
